ปี,จังหวัด,รายการ,ประเภท,อำเภอ,จำนวน,หน่วย,ที่มา
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, ระแงะ,32.27,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, ระแงะ,0.37,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, ระแงะ,0.6,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, ระแงะ,0.09,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, รือเสาะ,5,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, รือเสาะ,4.14,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, รือเสาะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, รือเสาะ,29.29,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, รือเสาะ,0.28,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, รือเสาะ,51,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, รือเสาะ,0.07,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, ศรีสาคร,1.42,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, ศรีสาคร,1.66,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, ศรีสาคร,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, ศรีสาคร,4.25,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, ศรีสาคร,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, ศรีสาคร,0.24,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, ศรีสาคร,0.03,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, แว้ง,3.28,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, แว้ง,3.11,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, แว้ง,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, แว้ง,13.96,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, แว้ง,0.27,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, แว้ง,0.32,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, แว้ง,0.04,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, สุคิริน,1.3,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, สุคิริน,0.91,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, สุคิริน,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, สุคิริน,0.66,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, สุคิริน,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, สุคิริน,0.11,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, สุคิริน,0.02,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, สุไหงโก-ลก,21.49,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, สุไหงโก-ลก,19.58,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, สุไหงโก-ลก,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, สุไหงโก-ลก,45.95,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, สุไหงโก-ลก,0.87,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, สุไหงโก-ลก,0.82,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, สุไหงโก-ลก,0.18,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, สุไหงปาดี,3.98,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, สุไหงปาดี,2.79,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, สุไหงปาดี,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, สุไหงปาดี,4.12,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, สุไหงปาดี,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, สุไหงปาดี,0.3,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, สุไหงปาดี,0.06,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, จะแนะ,1.09,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, จะแนะ,1.45,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, จะแนะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, จะแนะ,1.02,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, จะแนะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, จะแนะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, จะแนะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, เจาะไอร้อง,1.82,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, เจาะไอร้อง,2.92,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, เจาะไอร้อง,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, เจาะไอร้อง,28.58,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, เจาะไอร้อง,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, เจาะไอร้อง,0.64,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, เจาะไอร้อง,0.08,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, เมืองนราธิวาส,65.581,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, เมืองนราธิวาส,37.433,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, เมืองนราธิวาส,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, เมืองนราธิวาส,133.439,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, เมืองนราธิวาส,3.466,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, เมืองนราธิวาส,5.553,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, เมืองนราธิวาส,0.592,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, ตากใบ,7.875,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, ตากใบ,10.159,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, ตากใบ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, ตากใบ,9.152,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, ตากใบ,0.451,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, ตากใบ,0.387,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, ตากใบ,0.072,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
