ปี,จังหวัด,ผลผลิต,หน่วย
2563,ลำปาง," 2,205 ",กิโลกรัม
2564,ลำปาง," 2,431 ",กิโลกรัม
2565,ลำปาง," 2,510 ",กิโลกรัม
2566,ลำปาง," 2,212 ",กิโลกรัม
2567,ลำปาง," 2,208 ",กิโลกรัม
2568,ลำปาง," 2,522 ",กิโลกรัม
