ปี,รายการ,ค่าข้อมูล,หน่วย,ที่มา
2560,เกษตรที่ปลูกสับปะรด,"4,082",ราย,สำนักงานเกษตรจังหวัดเชียงราย
2561,เกษตรที่ปลูกสับปะรด,"4,677",ราย,สำนักงานเกษตรจังหวัดเชียงราย
2562,เกษตรที่ปลูกสับปะรด,"5,280",ราย,สำนักงานเกษตรจังหวัดเชียงราย
2563,เกษตรที่ปลูกสับปะรด,"4,937",ราย,สำนักงานเกษตรจังหวัดเชียงราย
2564,เกษตรที่ปลูกสับปะรด,"4,891",ราย,สำนักงานเกษตรจังหวัดเชียงราย
2565,เกษตรที่ปลูกสับปะรด,"4,597",ราย,สำนักงานเกษตรจังหวัดเชียงราย
2566,เกษตรที่ปลูกสับปะรด,"4,177",ราย,สำนักงานเกษตรจังหวัดเชียงราย
2567,เกษตรที่ปลูกสับปะรด,"3,973",ราย,สำนักงานเกษตรจังหวัดเชียงราย
2568,เกษตรที่ปลูกสับปะรด,"3,979",ราย,สำนักงานเกษตรจังหวัดเชียงราย
