อำเภอ,จำนวนครัวเรือนเกษตรกร
    เมืองสระบุรี,"1,774"
    แก่งคอย,"4,335"
    หนองแค,"3,809"
    วิหารแดง,"2,040"
    หนองแซง,"1,809"
    บ้านหมอ,"2,912"
    ดอนพุด,"1,114"
    หนองโดน,"1,718"
    พระพุทธบาท,"2,486"
    เสาไห้,"2,371"
    มวกเหล็ก,"5,940"
    วังม่วง,"1,687"
    เฉลิมพระเกียรติ,"1,865"
