อำเภอ,จำนวนครัวเรือนเกษตรกร
    เมืองสระบุรี,"1,787"
    แก่งคอย,"3,991"
    หนองแค,"3,487"
    วิหารแดง,"2,001"
    หนองแซง,"1,767"
    บ้านหมอ,"2,407"
    ดอนพุด,"1,081"
    หนองโดน,"1,564"
    พระพุทธบาท,"2,344"
    เสาไห้,"2,097"
    มวกเหล็ก,"5,302"
    วังม่วง,"1,416"
    เฉลิมพระเกียรติ,"1,597"
