จังหวัด,อำเภอ,รายการ,ปี,ประเภทการปลูก,พื้นที่เสียหาย,หน่วยนับ
อำนาจเจิญ,ปทุมราชวงศา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,มันสำปะหลัง,305,ไร่
อำนาจเจิญ,พนา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,ข้าว,"2,238",ไร่
อำนาจเจิญ,พนา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,มันสำปะหลัง, -   ,ไร่
อำนาจเจิญ,เสนางคนิคม,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,ข้าว,"1,592",ไร่
อำนาจเจิญ,เสนางคนิคม,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,มันสำปะหลัง,"1,340",ไร่
อำนาจเจิญ,หัวตะพาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,ข้าว,"4,205",ไร่
อำนาจเจิญ,หัวตะพาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,มันสำปะหลัง, -   ,ไร่
อำนาจเจิญ,ลืออำนาจ,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,ข้าว,"2,287",ไร่
อำนาจเจิญ,ลืออำนาจ,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,มันสำปะหลัง, -   ,ไร่
อำนาจเจิญ,เมือง,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,ข้าว,"2,088",ไร่
อำนาจเจิญ,เมือง,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,มันสำปะหลัง,2343,ไร่
อำนาจเจิญ,ชานุมาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,ข้าว,179,ไร่
อำนาจเจิญ,ชานุมาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,มันสำปะหลัง,129,ไร่
อำนาจเจิญ,ปทุมราชวงศา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,ข้าว,0,ไร่
อำนาจเจิญ,ปทุมราชวงศา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,มันสำปะหลัง,73,ไร่
อำนาจเจิญ,พนา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,ข้าว,"3,109",ไร่
อำนาจเจิญ,พนา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,มันสำปะหลัง,0,ไร่
อำนาจเจิญ,เสนางคนิคม,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,ข้าว,"2,009",ไร่
อำนาจเจิญ,เสนางคนิคม,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,มันสำปะหลัง,"4,900",ไร่
อำนาจเจิญ,หัวตะพาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,ข้าว,"10,832",ไร่
อำนาจเจิญ,หัวตะพาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,มันสำปะหลัง, -   ,ไร่
อำนาจเจิญ,ลืออำนาจ,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,ข้าว,"8,379",ไร่
อำนาจเจิญ,ลืออำนาจ,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2568,มันสำปะหลัง, -   ,ไร่
