ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
33.0,"Standard Resistor 
(Calibrate in oil or in air)",1 GW to 1 TW,37 µW/W to 1.25 mW/W,"7,880/item","Using Dual Source High Resistance 
Ratio Bridge",09030-10215
34.0,"Standard Resistor 
(Calibrate in oil or in air)",1 TW to 100 TW,>1.25 mW/W to 24.4 mW/W,"7,880/item","Using Dual Source High Resistance 
Ratio Bridge",09030-10215
35.0,"Standard Resistor 
(Calibrate in oil or in air)",0 W to 1 TW,As specification,"2,250/point test",,09030-10216
36.0,"Standard Resistor 
(Calibrate in oil or in air)","10 TW at 100 V, 200 V
500 V and 1000 V",3 mW/W,"2,250/point test",,09030-10217
37.0,Resistance Calibrator,0 W to 100 MW,As specification,"20,000/piece",,09031-10210
38.0,Standard Resistor,Test Voltage: maximum 2500 V / Range 100 MW to 1 TW,As Specification,"2,250 / point",Used Volt Amp Method,09031-10211
39.0,High Resistance Meter ,Upto  100 TW,As specification,"2,250 / point",Direct,09030-10220
40.0,Digital Thermometer (indicator),up to 10 MW /DCI 0 - 100 mA ,£ 5 mW/W  /£ 60 mW/W ,"(22,500 to 29,250)/item",,09030-10221
41.0,Digital Thermometer (indicator),up to 10 MW / DCV 0 -100 mV,³ 5 mW/W  / ³ 20 mW/W,"(9,000 to 18,000)/item",,09030-10222
42.0,Low Resistance meter,"Range 1 kW 
maximum Current 0.5 A
Range 100 W
maximum Current 1 A
Range 10 W
maximum Current 5 A
Range 1 W
maximum Current 10 A
Range 0.1 W
maximum Current 20 A
Range 0.01 W
maximum Current 30 A
Range 1 mW
maximum Current 100 A",As Specification,"2,250 / point",Direct measurement,09030-10223
43.0,High Resistance Meter,"Test Voltage: maximum  5000 V
Range 10 MW, 20 MW and 50 MW
Range 100 MW, 200 MW and 500 MW
Range 1 GW, 2 GW and 5 GW
Range 10 GW, 20 GW and 50 GW
Range 100 GW, 200 GW and 500 GW",As Specification,"2,250 / point",,09030-10224
44.0,"Low Resistance meter
(High Current)",":100 mW, 200 mW, 400 nW, 600 mW and
 800 mW@ Max.120 A
: 1 mW, 2 mW, 4 mW, 6 mW and 8 mW
@ Max 100 A
: 10 mW, 20 mW, 40 mW, 60 mW and 80 mW
@ Max 60 A
: 0.1 W, 0.2 W, 0.4 W , 0.6 W and 0.8 W
@ Max 10 A
: 1 W, 2 W, 4 W, 6 W, 8 W and 16 W
@ Max 1 A 
: 40 W, 80 W
@ Max 1 A",As Specification,"2,250 / point",,09030-10225
45.0,Low Resistance Meter,Range 1 m? to 10 M?,As Specification,"2,250 / point",,09030-10226
46.0,"High Resistance meter
","Range 10 M? to 10 T?
Maximum test Voltage: 5 kV",As Specification,"2,250 / point",,09030-10227
