รหัสหลักสูตร (Course ID),หัวข้อการอบรม (Training Category),ชื่อหลักสูตร (Course Name),วันที่เริ่มต้น (Start Date),วันที่สิ้นสุด (End Date),เวลาเริ่มต้น (Start Time),เวลาสิ้นสุด (End Time),จำนวนรับสมัคร (Capacity),ค่าลงทะเบียน (Price - THB),วันที่ลงข้อมูล (Created Date)
1071,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบและจัดการเครื่องมือวัดตามระบบคุณภาพ รุ่น 2,3/31/2026,3/31/2026,08.30 น.,09.00 - 16.30 น.,40,2530,10/30/2025 12:06
1072,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การตรวจติดตามระบบคุณภาพภายในห้องปฏิบัติการ (ตามข้อกำหนด ISO/IEC 17025:2017) รุ่น 2 **ส่ง Cer วันที่ 24 ก.พ. 69**,2/17/2026,2/18/2026,08.30 น.,09.00 - 16.30 น.,30,4690,10/30/2025 13:24
1073,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบเครื่องชั่งอิเล็กทรอนิกส์ตามมาตรฐาน UKAS LAB 14 รุ่น 2,4/21/2026,4/22/2026,08.30 น.,09.00 - 16.30 น.,20,5210,11-12-2025 14:01
1074,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,ความเข้าใจและการตีความใบรับรองผลการสอบเทียบ รุ่น 2 ** ส่ง Cer 12 มี.ค. 69 **,2/28/2026,2/28/2026,08.30 น.,09.00 - 16.30 น.,30,2530,11/21/2025 10:50
1075,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,ระบบคุณภาพห้องปฏิบัติการตาม ISO/IEC 17025:2017(E) รุ่น 2,2/28/2026,2/28/2026,08.30 น.,09.00 - 16.30 น.,40,3052,11/27/2025 10:40
1076,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การประเมินค่าความไม่แน่นอนของการวัด รุ่น 2,2/28/2026,2/28/2026,08.30 น.,09.00 - 16.30 น.,30,4690,12/20/2025 13:00
1077,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การจัดทำเอกสารระบบการบริหารงานตามมาตรฐาน ISO/IEC 17025 : 2017 รุ่น 2,07-08-2026,07-09-2026,08.30 น.,09.00 - 16.30 น.,24,4690,01-05-2026 09:36
1078,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,ระบบควบคุมเครื่องมือวัดตามข้อกำหนด ISO 9001 ISO/IEC 17025 ISO 14001 และ ISO 45001 รุ่น 2,07-06-2026,07-07-2026,08.30 น.,09.00 - 16.30 น.,30,3052,03-05-2026 16:37
1079,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,ความเข้าใจและการตีความใบรับรองผลการสอบเทียบ รุ่น 3,7/13/2026,7/13/2026,08.30 น.,09.00 - 16.30 น.,30,2530,03-10-2026 09:27
1080,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การตรวจติดตามระบบคุณภาพภายในห้องปฏิบัติการ (ตามข้อกำหนด ISO/IEC 17025:2017) รุ่น 3,5/27/2026,5/28/2026,08.30 น.,09.00 - 16.30 น.,30,4690,03-10-2026 09:31
1081,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การแปลความและประยุกต์ใช้ใบรายงานผลการสอบเทียบเพื่อควบคุมคุณภาพ รุ่น 2,06-11-2026,06-12-2026,08.30 น.,09.00 - 16.30 น.,30,3052,03-10-2026 09:47
