ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
67.0,Sphere,dia. Up to 300 mm,"Q[0.20 µm, 1.0E-06 D]","2,410/piece",Cal. by Universal length measuring Machine,08041 - 10801
68.0,3-Wire Unit,All sizes,"Q[0.20 µm, 1.0E-06 D] ","2,820/set",Cal. by Universal length measuring Machine,08041 - 10901
69.0,Taper Plain Plug Gauge,from pitch 0.45 - 8 mm,2.0 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11501
70.0,Parallel Thread Ring Gauge,from pitch 0.45 - 8 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11701
71.0,Parallel Thread Ring Gauge,2.5 mm - 160 mm,2.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 11702
72.0,Go - No Go Parallel Thread Ring Gague,from pitch 0.45 - 8 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11801
73.0,Taper Thread Ring Gauge,from pitch 0.45 - 8 mm,2.0 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11901
74.0,Parallel Thread Plug Gauge,from pitch 0.2 - 6 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and 3-Wires,08041 - 12101
75.0,Parallel Thread Plug Gauge,1 mm - 150 mm,2.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 12102
76.0,Go - No Go Parallel Thread Plug Gauge,from pitch 0.2 - 6 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and 3-Wires,08041 - 12201
77.0,Taper Thread Plug Gauge,from pitch 0.45 - 8 mm,2.0 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 12301
78.0,Taper Thread Plug Gauge,1 mm - 150 mm,2.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 12302
79.0,Taper Thread Ring Gauge,2.5 mm - 160 mm,2.5 µm,"5,000/piece",Contact scanning with measuring probe ,08041 - 12303
80.0,Pitch,0.1 mm - 20 mm,1 µm,"5,000/piece",Contact scanning with measuring probe ,08041 - 12304
81.0,Thread Angle,7° - 180°,0.12°,"5,000/piece",Contact scanning with measuring probe ,08041 - 12305
82.0,Taper,0 - 0.5,0.0024,"5,000/piece",Contact scanning with measuring probe ,08041 - 12306
83.0,Pitch of thread gauge,0 mm to 120 mm,2.3 µm,"2,030/piece",Cal. By Contour Measuring Machine,08041 - 12501
84.0,X-Axis Contour Measuring Machine,0 mm to 120 mm,1.3 µm,"10,030/piece",Compare with standard glass scale,08041 - 12502
85.0,Included angle of thread gauge,0-90 degree,0.06 degree,"2,030/piece",Cal. By Contour Measuring Machine,08041 - 12601
86.0,"Contour specimen
- x-axis (pitch)",up to 200 mm,2.3 µm,"5,000/5 points + 1,000/point",Direct measurement by using Contour Measuring Machine,08041 - 12701
87.0,"Contour specimen
- z-axis (step, height)",up to 20 mm,1.6 µm,"5,000/5 points + 1,000/point",Direct measurement by using Contour Measuring Machine,08041 - 12702
88.0,Check Master/ Step Gauge,0 to 300 mm,"Q[0.20 µm, 7.7E-06 L]","10,660/piece",Cal. By Laser Interferometer,08051 - 10201
89.0,Check Master/ Step Gauge,0 to 600 mm,"Q[0.20 µm, 7.7E-06 L]","13,160/piece",Cal. By Laser Interferometer,08051 - 10202
90.0,Check Master/ Step Gauge,0 to 1020 mm,"Q[0.20 µm, 7.7E-06 L]","15,660/piece",Cal. By Laser Interferometer,08051 - 10203
91.0,Gear standard  Spur gear  :  Profile slope deviation,25 to 400 mm,1.0 to 3.0 µm,"7,880/piece",Cal. by Coordinate Measuring Machine,08051 - 10301
92.0,Gear standard  Spur gear  :   Profile slope deviation,up to 45o,1.0 to 2.0 µm,"7,880/piece",Cal. by Coordinate Measuring Machine,08051 - 10401
93.0,Spur gear : Pitch,up to 400 mm,2.0 µm,"7,880/piece",Cal. by Coordinate Measuring Machine,08051 - 10501
94.0,Bevel Gear : form deviation,up to 300 mm,2.0 µm,"7,880/piece",Cal. by Coordinate Measuring Machine,08051 - 10601
95.0,Ball Plate,up to 1000 mm,"Q[0.26 µm, 1.9E-06 L]","36,000/piece",Cal. by Coordinate Measuring Machine with Laser Interferometer,08051 - 10701
96.0,2-D Coordinate (Hole Plate),Up to 1000 mm,"Q[0.25 µm, 0.42E-6L]","106,250/piece",Swing-round method and laser interferometer integrated with CMM,08051 - 10702
97.0,Depth Micro-Checker,0 to 150 mm,"Q[0.68 µm, 1.1E-06 L]","9,000/piece",Cal. by Coordinate Measuring Machine,08051 - 10801
98.0,Depth Micro-Checker,0 to 300 mm,"Q[0.68 µm, 1.1E-06 L]","11,250/piece",Cal. by Coordinate Measuring Machine,08051 - 10802
99.0,Depth Micro-Checker,0 to 150 mm,"Q[0.48 µm, 0.67E-06 L]","10,625/piece",Cal. by substitution method using CMM,08051 - 10803
100.0,Inside Micro-Checker,0 to 300 mm,"Q[0.20 µm, 7.7E-07 L]","10,660/piece",Cal. by Laser Interferometer,08051 - 10901
101.0,Inside Micro-Checker,0 to 600 mm,"Q[0.20 µm, 7.7E-07 L]","13,160/piece",Cal. by Laser Interferometer,08051 - 10902
102.0,Inside Micro-Checker,0 to 1020 mm,"Q[0.20 µm, 7.7E-07 L]","15,660/piece",Cal. by Laser Interferometer,08051 - 10903
103.0,Caliper Checker/ Vernier Checker,0 to 300 mm,"Q[0.20 µm, 7.7E-06 L]","10,660/piece",Cal. by Laser Interferometer,08051 - 11001
104.0,Caliper Checker/ Vernier Checker,0 to 600 mm,"Q[0.20 µm, 7.7E-06 L]","13,160/piece",Cal. by Laser Interferometer,08051 - 11002
105.0,Caliper Checker/ Vernier Checker,0 to 1020 mm,"Q[0.20 µm, 7.7E-06 L]","15,660/piece",Cal. by Laser Interferometer,08051 - 11003
106.0,3-D Artifacts,"Up to X×Y×Z
(1200×1000×700) mm","Q[0.70 µm, 2.30E-6 L]","2,500 + 900/parameter or depend on drawing",Direct measurement by CMM,08051 - 11011
107.0,Optical Flat,max. dia. 60 mm,20 nm,"2,500/piece",Cal. by Flatness Interferometer,08061 - 10201
108.0,Optical Flat,max. dia. 300 mm,"Q[37 nm, 2E-09 F]","7,500/piece",Cal. by Non-contact measurement using Flatness Interferometer,08061 - 10202
109.0,Transmission Flat/Reference Flat,max. dia. 300 mm,"Q[25 nm, 2.0E-06 F]","11,500/piece",Absolute Flatness calibration by 3-Flat Test method,08061 - 10203
110.0,"Glass Hemisphere
Roundness specimen (High precision)",dia. Up to 355 mm,"Q[8.0 nm, 8.0E-03 R]","11,500/piece","Error seperation technique by multistep method (Stylus-on-spindle)
where R representing roundness value
Soft file of measurement result charge +2500 baht/file",08061 - 10301
111.0,Roundness of specimen/workpiece,dia. Up to 355 mm,"Q[11.1 nm, 1.1E-02 R]","7,530/piece","Soft file of measurement result charge +2500 baht/file
where R representing measured value of roundness",08061 - 10401
112.0,"Cylinder/Cylindrical standard
- Cylindricity","Height up to 500 mm 
Diameter up to 300 mm 
Maximum runout: 2.06 mm","Q[0.16 µm, 1.17E-06 H]","7,530","Direct measurement by Roundness Measuring Instrument
where H representing measured height of the cylinder",08061 - 10402
113.0,"Cylinder/Cylindrical standard
- Straightness","Height up to 500 mm 
Diameter up to 300 mm 
Maximum runout: 2.06 mm","Q[77 nm, 0.10E-06 L]","7,530","Direct measurement by Roundness Measuring Instrument based on Reversal method
where L representing travel length",08061 - 10403
114.0,"Cylinder/Cylindrical standard
- Parallelism","Height up to 500 mm 
Diameter up to 300 mm 
Maximum runout: 2.06 mm","Q[0.16 µm, 1.2E-06 H]","7,530","Direct measurement by Roundness Measuring Instrument
where H representing measured height of the cylinder",08061 - 10404
115.0,"Cylinder/Cylindrical standard
- Squareness","Height up to 500 mm 
Diameter up to 300 mm 
Maximum runout: 2.06 mm","Q[0.40 µm, 1.2E-06 H]","7,530","Direct measurement by Roundness Measuring Instrument
where H representing measured height of the cylindrical square",08061 - 10405
116.0,Harmonic Standard,"Up to 80 mm
(Diameter up to 300 mm, Height up to 500 mm)","Q[53 nm, 8.0E-3 R]","7,530/range",Direct measurement by roundness measuring instrument (TR595H machine),08061 - 10406
117.0,"Roughness Specimen (Type A), Step Height",25 nm to 32 um,"Q[6.7 nm, 5.6E-03 Zm]","5,030/step","Contact measurement by Roughness (stylus) Measuring Instrument
where d representing depth",08061 - 10501
118.0,"Roughness Specimen (Type A), Step Height",10 nm  to 0.1 um,"Q[6.0 nm, 0.20 Zm]","6,280/step","Non-contact measurement using Interference Microscope
where d representing depth ",08061 - 10502
119.0,"Roughness Specimen (Type C or Type D), Roughness Specimen",25 nm to 32 um,"Ra: Q[9 nm, 5.6E-03 Zm]","7,530/range","Contact measurement by Roughness (stylus) Measuring Instrument
where Ra, Rz and Sm representing roughness value",08061 - 10601
120.0,"Roughness Specimen (Type C or Type D), Roughness Specimen",25 nm to 32 um,"Rz: Q[21 nm, 8.8 E-03 Zm]","7,530/range","Contact measurement by Roughness (stylus) Measuring Instrument
where Ra, Rz and Sm representing roughness value",08061 - 10602
121.0,"Roughness Specimen (Type C or Type D), Roughness Specimen",25 nm to 32 um,"Rsm: Q[0.58 um, 20E-03 Sm]","7,530/range","Contact measurement by Roughness (stylus) Measuring Instrument
where Ra, Rz and Sm representing roughness value",08061 - 10603
122.0,"Roughness Specimen (Type C or Type D), Roughness Specimen",25 nm to 32 um,"Rq: Q[11 nm, 4.2E-03 Zm]","7,530/range","Contact measurement by Roughness (stylus) Measuring Instrument
where Zm representing measured value",08061-10604
123.0,Roughness specimen (Areal parameter),0.01 um to 3 um,"Sa: Q[30 nm, 7.3E-03 Zm]","7,530/range","Non-contact measurement using Interference Microscope
where Zm representing measured value",08061 - 10611
124.0,Roughness specimen (Areal parameter),0.01 um to 3 um,"Sq: Q[31 nm, 7.3E-03 Zm]","7,530/range","Non-contact measurement using Interference Microscope
where Zm representing measured value",08061 - 10612
125.0,Roughness specimen (Areal parameter),0.01 um to 7 um,"Sa: Q[52 nm, 7.3E-3 Zm]","7,530/range","Non-contact and Direct measurement using 3D Measuring Laser Microscope
where Zm representing measured value",08061 - 10621
126.0,Roughness specimen (Areal parameter),0.01 um to 7 um,"Sz: Q[166 nm, 1.1E-2 Zm]","7,530/range","Non-contact measurement using 3D Measuring Laser Microscope
where Zm representing measured value",08061 - 10622
127.0,Step height / depth standard ,1 nm to 100 nm,"Q[0.73 nm, 1.8E-06 Zm]","11,500/piece",Measurement by Metrological Nanomeasuring and Nanopositioning Machine ,08061 - 10901
128.0,Pitch standard ,0.1 um to 100 um,"Q[3.4 nm, 2.9E-3 Pm]","11,500/piece",Measurement by Metrological Nanomeasuring and Nanopositioning Machine ,08061 - 11001
129.0,Radius of curvature,up to 600 mm,"Q[0.75 um, 2.2E-05 L]","2,530","Non-contact measurement using Fizeau interferometer
where L representing measured radius of curvature",08061 - 11101
130.0,Sphericity and form error of spherical part,F/#: 10.7,23 nm,"7,530/piece",Non-contact measurement using Fizeau interferometer,08061 - 11102
131.0,Lens : Sag,Aperture: 100 mm,1 um,"2,530/piece",Non-contact measurement using Fizeau interferometer,08061 - 11103
132.0,Lens : Focal length,"Concave radius: up to 600 mm
Convex radius: up to 600 mm",(7.87 + 0.47E-03 F) um,"3,780/piece","Non-contact measurement using Fizeau Interferometer
where F representing calculated focal length
Reflective Index (n) of a lens is required",08061 - 11201
133.0,Lens : Opthalmic power,"Concave radius: up to 600 mm
Convex radius: up to 600 mm",(0.0006 + 0.0005 D) m-1,"3,780/piece","Non-contact measurement using Fizeau Interferometer
where D representing calculated ophthalmic power
Reflective Index (n) of a lens is required",08061 - 11202
134.0,Lens : Prism Diopter,up to 0.3,"Q[0.008, 6.6E-04 ?]","5,000/piece","Prism diopter calibration using Mechanical-Bearing Rotary Stage
Reflective Index (n) of a lens is required",08061 - 11203
135.0,Lens |Back focal length|,"33 mm to 250 mm
(Diameter up to 100mm)","Q[0.032 mm, 2.5E-6 F2]","2,530/piece",Non contact method by Fizeau inteferometer with a sliding ,08061 - 11204
136.0,Lens |Lens power|,"4 m-1 to 30 m-1
(Diameter up to 100mm)","Q[0.003 m-1, 2.7E-5 P2]","2,530/piece",Non contact method by Fizeau inteferometer with a sliding ,08061 - 11205
137.0,Angular deviation of a centerline of cylindrical lens,Up to 30¢,1.8¢,"2,530/piece",Direct measurement with a calibrated CCD camera using a standard glass scale,08061 - 11206
138.0,Setting Zero Rod,Up to 1000 mm,(0.22 + 2.3 L2 ) um,"2,030/piece",Cal. by ULM,08071 - 10601
139.0,"Dial  Gauge Tester (Scale, Digital)",0 mm to 25 mm,"Q[0.13 um, 8.0E-6 L] ","6,750/piece",Cal. by Standard linear gauge,08071 - 10901
140.0,"Dial  Gauge Tester (Scale, Digital)",0 mm to 60 mm,"Q[0.13 um, 8.0E-6 L] ","8,780/piece",Cal. by Standard linear gauge,08071 - 10902
141.0,"Dial  Gauge Tester (Scale, Digital)",0 mm to 100 mm,"Q[0.20 um, 8.0E-6 L] ","10,030/piece",Cal. by Standard linear gauge,08071 - 10903
142.0,Calibration Tester,Up to 5 mm,"Q[0.13 um, 4.8E-6 L] ","7,880/piece",Cal. by Laser interferometer,08071 - 10801
143.0,Indicator Checker,up to 100 mm,"Q[0.050 ?m, 1.7E-6 L] ","15,000/piece",Cal. by Laser interferometer,08071 - 10802
144.0,"Electronic Comparator (Mu-Checker / Millitron)
(Include: Probe and display unit) Analog M-Checker                ",0 mm to 5 mm ,0.2 um,"4,500/piece",Comparison with Laser Hologauge,08071 - 11201
145.0,Electronic comparator: Error of indication,up to 1 mm,"Q[0.17 ?m, 1.8E-4 L] ","4,500/piece",Direct measurement by I-checker,08071 - 11202
146.0,Calibration Gauge for Seam Metal,0 to 5 mm,0.30 um ,"2,530/piece",Cal. By NIMT Line scale interferometer system,08071 - 11301
147.0,Laser Hologauge / Linear gauge ,0 to 10 mm,"Q[0.05 um, 1.7E-6L] ","11,250/piece",Cal. by Gauge Block,08071 - 11401
148.0,Laser Hologauge / Linear gauge ,0 to 50 mm,"Q[0.05 um, 1.7E-6L] ","15,750/piece",Cal. by Gauge Block,08071 - 11402
149.0,Linear Gauge: Error of indication,up to 100 mm,"Q[0.20 ?m, 8.0E-6 L] ","5,625/piece",Direct measurement by I-checker,08071 - 11403
150.0,Thickness of specimen/ feeler gauge,up to 10 mm,"Q[0.5 um, 9.1E-6 L]",750/point,Cal. by length gauge,08071 - 11801
151.0,"Laser Scan Micrometer
(Display Unit, Measuring Unit) ",Up to 100 mm,0.5 mm,"11,250/piece",Cal. by Standard plug gauge,08071 - 11901
152.0,Magnification calibrator / Magnification Checker,0 mm to 0.4 mm,0.2 um,"5,630/piece",Direct measurement by linear gauge,08071 - 12401
153.0,Calibration block,V1,0.01 mm,"4,500/piece","Cal. by QV
*Depend on the quality of artifact",08071 - 12601
154.0,Calibration block,V2,0.01 mm,"3,380/piece","Cal. by QV
*Depend on the quality of artifact",08071 - 12602
155.0,Calibration block,LSW,0.01 mm,"3,380/piece","Cal. by QV
*Depend on the quality of artifact",08071 - 12603
156.0,Scale lupe : Line spacing,0 - 30 mm,"Q[0.0003 mm, 1.7E-6 L]","2,820/piece + 500 / nex function",Cal. by NIMT Line Scale interferometer system,08071 - 12701
157.0,Scale lupe : Diameter/Ellipse,upto 20 mm,"Q[0.0005 mm, 3.21E-6 L]","2,820/piece + 500 / nex function",Cal. By QV,08071 - 12702
158.0,Scale lupe : Angle,0 to 360 degree,1 minute,"2,820/piece + 500 / nex function",Cal. By QV,08071 - 12703
159.0,Objective/Stage micrometer : Line spacing,0 - 10 mm,"Q[0.0003 mm, 1.7E-6 L]","2,820/piece + 500 / nex function",Cal. by NIMT Line Scale interferometer system,08071 - 12711
