ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
200.0,Pin Gauge,100 to 300 mm,"Q[0.20 µm, 1.0E-06 D] ","2,410/piece",Cal. by Universal length measuring Machine ,08041 - 10703
201.0,Height Master (analog/digital),0 to 300 mm,0.3 mm + 3E-6 L,"13,500/piece",Cal. by Gauge block or Length Bar,08051 - 10101
202.0,Height Master (analog/digital),0 to 600 mm,0.3 mm + 3E-6 L,"22,500/piece",Cal. by Gauge block or Length Bar,08051 - 10102
203.0,Optical Parallel : Flatness,max. dia. 60 mm,0.02 um,"1,600/piece","Cal. by Flatness Interferometer, 
Universal Length Measuring Machine (ULM) and/or  
Gauge Block Comparator (GBC)",08061 - 10101
204.0,Optical Parallel : Parallelism,max. dia. 60 mm,"ULM : Q[0.060 um, 6.48E-06 P]

GBC : 0.080 um","1,600/piece","Cal. by Flatness Interferometer, 
Universal Length Measuring Machine (ULM) and/or  
Gauge Block Comparator (GBC)
where P representing measured parallelism of the optical parallel",08061 - 10101
205.0,Optical Parallel : Thickness,max. dia. 60 mm,0.15 um,"1,600/piece","Cal. by Flatness Interferometer, 
Universal Length Measuring Machine (ULM) and/or  
Gauge Block Comparator (GBC)
where L representing nominal thickness of the optical parallel",08061 - 10101
206.0,Holtest / 3- point internal micrometer,up to 100 mm,1.5 mm + 1.5E-6 d,"2,250/piece",Cal. by Ring gauge,08071 - 12001
207.0,"Vernier Caliper:
Partial surface contact error and Shift error                                    ",up to 600 mm,"Partial surface contact error: 
Q[13 um, 1.33E-5 L] 
Shift error (Internal measuring faces): 
Q[13 um, 1.33E-5 L] 
Shift error (Depth and Step measuring faces): 
Q[13 um, 1.33E-5 L] ","3,380/piece",Cal. by Gauge block and Ring gauge,08071 - 10201
208.0,"Vernier Caliper:
Partial surface contact error and Shift error                                        ",600 mm to 1000 mm,"Partial surface contact error: 
Q[14 um, 1.33E-5 L] 
Shift error (Internal measuring faces): 
Q[13 um, 1.33E-5 L] 
Shift error (Depth and Step measuring faces): 
Q[13 um, 1.33E-5 L] ","3,380/piece",Cal. by Gauge block and Ring gauge,08071 - 10202
209.0,Height Measuring Station,0 mm to 300 mm,"Q[0.70 µm, 1.0E-06 D]","11,250/piece",Cal. by Gauge Block,08071 - 10301
210.0,Height Measuring Station,0 mm to 600 mm,"Q[0.70 µm, 1.0E-06 D]","12,600/piece",Cal. by Gauge Block,08071 - 10302
211.0,Height Gauge ,0 mm to 600 mm,"Q[13 um, 1.3E-5L] ","9,000/piece",Cal. by Gauge block and Electronic comparator,08071 - 10401
212.0,Height Gauge ,0 mm to 1000 mm,"Q[14 um, 1.3E-5L] ","12,600/piece",Cal. by Gauge block and Electronic comparator,08071 - 10402
213.0,External Micrometer ,>25 mm to 225 mm,"Q[0.6 um, 1.36E-5L] ","2,820/piece",Cal. by Gauge Block ,08071 - 10501
214.0,External Micrometer ,>225 mm to 300 mm,"Q[0.7 um, 1.42E-5L] ","3,380/piece",Cal. by Gauge Block ,08071 - 10502
215.0,External Micrometer (Resolution : < 0.001 mm),0 mm to 25 mm,"Q[0.1 um, 1.35E-5 L] ","3,380/piece",Cal. by Gauge Block ,08071 - 10504
216.0,Dial gauge (analog/digital),0-10 mm,"Q[2.6 um, 1.8E-4 L]","2,820/piece",Cal. by dial gauge tester,08071 - 10602
217.0,Dial gauge (analog/digital),0-25 mm,"Q[2.6 um, 1.8E-4 L]","3,380/piece",Cal. by dial gauge tester,08071 - 10603
218.0,Dial gauge (analog/digital),0-50 mm,"Q[2.6 um, 1.8E-4 L]","5,660/piece",Cal. by dial gauge tester,08071 - 10604
219.0,Dial gauge (analog/digital),0-10 mm,"Q[0.34 um, 4.5E-5  L]","2,820/piece",Cal. by ULM,08071 - 10605
220.0,Dial gauge (analog/digital),0-25 mm,"Q[0.34 um, 4.5E-5  L]","3,380/piece",Cal. by ULM,08071 - 10606
221.0,Dial gauge (analog/digital),0-50 mm,"Q[0.34 um, 4.5E-5  L]","5,660/piece",Cal. by ULM,08071 - 10607
222.0,Dial test indicator,up to 1.6 mm,0.8 µm,"2,820/piece",Cal. by calibration tester,08071 - 10608
223.0,Laser displacement sensor,0-50 mm,"Q[12 um, 1.7E-4 L]","3,380/piece",Cal. by dial gauge tester,08071 - 10609
224.0,Laser displacement sensor,0-100 mm,"Q[1.2 um, 4E-4 L]","5,660/piece",Cal. by gauge block,08071 - 10610
225.0,Dial gauge (analog/digital),up to 10 mm,"Q[0.34 um, 1.8E-4 L]","2,820/piece",Direct measurement by I-checker,08071 - 10611
226.0,Dial gauge (analog/digital),up to 25 mm,"Q[0.34 um, 1.8E-4 L]","3,380/piece",Direct measurement by I-checker,08071 - 10612
227.0,Dial gauge (analog/digital),up to 50 mm,"Q[0.34 um, 1.8E-4 L]","5,660/piece",Direct measurement by I-checker,08071 - 10613
228.0,Dial test indicator,up to 1 mm,"Q[0.60 ?m, 1.8E-4 L] ","2,820/piece",Direct measurement by I-checker,08071 - 10614
229.0,Micrometer Head ,0 mm to 25 mm,"Q[0.8 um, 8E-6 L] ","3,380/piece",Direct measurement by length gauge,08071 - 10701
230.0,Micrometer Head ,0 mm to 50 mm,"Q[0.8 um, 8E-6 L] ","4,500/piece",Direct measurement by length gauge,08071 - 10702
231.0,NIMT Reference Wall,Up to 8.5 m,"Q[3.52 um, 0.22E-6 L] ","112,550/Set",Interferometer,08051 - 11021
232.0,"Calibration of Standard of Arm CMM
(Sphere Ball Beam)",Up to 2.0 m,"Q[0.98 um, 2.01E-06L]","27,550/piece",Re-position measurement by CMM,08051 - 11031
