ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
23.0,"Specular included spectral diffuse reflectance of a matte color sample (8o:di)
Measured diffused reflectance values will be reported at 5 nm interval from 380 nm to 780 nm.",0% < %R ? 10%,0.0030 to 0.0022,"6,250 for the first piece
+ 3,750 for any additional piece
Fee will be scaled down for selected partial wavelength range.","By comparison against a reference matte ceramic color standard using the reference spectrophotometer with integrating sphere accessory.
Measurement uncertainties shown are percent relative of reflectance values and they are varied by wavelengths and dependent of UCC.",13026-14071
24.0,Regular spectral reflectance,"5 ? %R ? 100% 
200 nm ? l ? 2 500 nm at 5 nm interval","0.32% to 0.42% for the wavelength range from 200 nm to 885 nm
1.0% to 1.4% for the wavelength range from 890 nm to 2 500 nm
*Typical values for a high reflective aluminum mirror.  Uncertainties for other materials are likely higher.","11,250 for full-range.
Price for partial-range will be scaled down accordingly.",Absolute method by a double-subtractive double-beam spectrophotometer (Perkin-Elmer Lambda 1050) equipped with a variable-angle reflectance accessory (URA),13025-14061
25.0,"Wavelength calibration of a transmitted wavelength standard (holmium oxide solution, holmium oxide filter, dydimium oxide filter etc.)",200 nm to 2 500 nm,200 nm to 700 nm: 0.19 nm,"2,500 for first peak identification + 1,250 for any additional peak ",Measurement by reference spectrometer,13025-14150
26.0,Wavelength calibration of a reflectance wavelength standard (holmium oxide doped ceramic tile etc.),200 nm to 2 500 nm,200 nm to 700 nm: 0.19 nm,"3,750 for first peak identification + 1,250 for any additional peak ",Measurement by reference spectrometer with integrating sphere accessory,13025-14151
27.0,Regular transmittance responsivity of transmission meter and tint meter,0% < %T ? 100% ,2%,6250,"By comparison against working standard ND filters at the nominal optical density values of 0.1, 0.3, 0.5 and 1.0.",13026-14011
28.0,Absolute spectral irradiance responsivity of a spectroradiometer with irradiance probe,200 nm to 1 700 nm," Greater than or equal to  
2.6%","11,250 for scanning type and 6,250 for diode-array type",Direct measurement against a set of two FEL working standard lamps ,13038-12023
29.0,Relative spectral radiance responsivity of a spectroradiometer with radiance probe,250 nm to 2 500 nm," Greater than or equal to  
2.5%","11,250 for scanning type and 6,250 for diode-array type",Direct measurement against a set of two FEL working standard lamps ,13039-12030
30.0,Absolute spectral radiance responsivity,"Radiance: 0.000 5 W.sr-1. m-2.nm-1
Type of source: Tungsten-based integrating sphere source",2.8% to 7.6%,"7,500 for diode array type spectrometer
10,000 for scanning type spectrometer",Direct measurement on reference radiance gauge ,13038-12030
31.0,Power responsivity of a trap detector,Power level: < 1 mW,"0.026% (power responsivity)
0.087% (spectral responsivity)","35,000 per wavelength point
+ 10,000 for spectral responsivity","- The power responsivity is calibrated against a cryogenic radiometer at laser wavelengths (406.7 nm, 413.1 nm, 476.2 nm, 530.9 nm, 568.2 nm, 632.8 nm, 647.1 nm, 799.3 nm)
- Spectral responsivity scale is  interpolated between the laser wavelengths based ",13030-12040
32.0,Solar irradiance responsivity of a Si-pyranometer,"Wavelength: 400 nm to 1 100 nm
Power Level: 50 W.m-2 to 380 W.m-2
",0.02,6250,Comparison against a working standard spectroradiometer applying 300 W Xe arc lamp with 1.5 global  airmassfilter,13034-12716
33.0,Solar irradiance responsivity of a thermopile-detector pyranometer,"280 nm to 2 500 nm
(160 W.m2 to 520 W.m2)",2.1% to 3.4%,9000,Soruce based calibration against a working standard spectroradiometer applying a solar simulator system,13034-12717
34.0,Intregrated irradiance responsivity of broadband radiometer,"315 nm to 400 nm
(UVA )",4.40%,"6,250 per probe for the first irradiance level point
+ 3,130 for any additional irradiance level point",Source based calibration against a reference spectroradiometer using filtered 500 W Hg(Xe) as light source,13034-12090
35.0,Intregrated irradiance responsivity of broadband radiometer,"280 nm to 315 nm
(UVB)",6.30%,"6,250 per probe for the first irradiance level point
+ 3,130 for any additional irradiance level point",Source based calibration against a reference spectroradiometer using filtered 500 W Hg(Xe) as light source,13034-12091
36.0,Intregrated irradiance responsivity of broadband radiometer,"280 nm to 400 nm
(UVA+UVB)",6.00%,"6,250 per probe for the first irradiance level point
+ 3,130 for any additional irradiance level point",Source based calibration against a reference spectroradiometer using filtered 500 W Hg(Xe) as light source,13034-12092
37.0,Intregrated irradiance responsivity of broadband radiometer,Arbitary range within 280 nm to 1 020 nm,Varied by selected range,"6,250 per probe for the first irradiance level point
+ 3,130 for any additional irradiance level point",Source based calibration against a reference spectroradiometer using filtered 500 W Hg(Xe) as light source,13034-12099
38.0,Intregrated irradiance responsivity of narrowband radiometer,365 nm ± 10 nm,0.044,"6,250 per probe for the first irradiance level point
+ 3,130 for any additional irradiance level point",Source based calibration against a reference spectroradiometer using filtered 500 W Hg(Xe) as light source,13034-12110
39.0,Intregrated irradiance responsivity of narrowband radiometer,254 nm ± 10 nm,10%,,,13034-12113
40.0,Intregrated irradiance responsivity of narrowband radiometer,Arbitary range within 280 nm to 1 020 nm,Varied by selected range,,,13034-12119
41.0,UVC irradiance responsivity of an UVC radiometers,"Wavelength: 240 nm to 270 nm
Irradiance level: 2 mW?cm-2 to 20 W?m-2
(Standard points: 2, 40, 160, 225, 350, 450, and 500 mW?cm-2)","3.1%, varied by DUT and irradiance level","8,750 THB / fisrt point + 2,500 THB / for additional standard point(s) + 4,375 THB / for additional point(s)","Source based calibration against a
reference spectroradiometer using low
pressure Hg lamps as calibration source with ND filters",13034-12093
42.0,Erythemally Weighted Effective Global Solar UV Irradiance Responsivity of a UVE Radiometer/UV Index Meter,"0.012 W?m-2 ? Eer ? 0.500 W?m-2
250 nm ? l ? 400 nm","8.8 % to 9.3 %
 varied with effective irradiance level and DUT","6,250 for the first point + 3,750 for any additional point
",Source based comparison against working standard spectroradiometer by using a properly filtered Xe discharge lamp as the calibration light source,13034-12095
43.0,Integrated Radiant Exposure Responsivity of a UV Radiometer ,"315 nm ? ? ? 400 nm
2 W?m-2 ? Ee ? 40 W?m-2
30 s ? t ? 120 s","5.0 % to 6.3 %
 varied with exposure time, irradiance level and DUT","8,500 for the first point + 4,200 for any additional point",Comparison agiants a working standard spectroradiometer with a calibrated stopwatch applying the filtered 500W Hg(Xe) arc lamp,13034-12100
44.0,Integrated Radiant Exposure Responsivity of a UV Radiometer ,"280 nm ? ? ? 400 nm
5 W?m-2 ? Ee ? 40 W?m-2
30 s ? t ? 180 s","5.5 % to 6.8 %
 varied with exposure time, irradiance level and DUT","8,125 for the first point + 3,750 for any additional point",Comparison agiants a working standard spectroradiometer with a calibrated stopwatch applying the 300W Ultra-Vitalux® UV lamp,13034-12101
45.0,Responsivity of PAR radiometer,400 nm to 700 nm,2.00%,"6,250 per probe for the first irradiance level point + 3,130 for any additional irradiance level point

",Direct measurement against a set of two FEL working standard lamps ,13038-12120
46.0,Measurement of linearity response of a photo-detector," At discrete wavelengths from 200 nm to 2 500 nm
Beam size ranges from 25 micron to 5 mm","200 nm to 400 nm: 
± 0.1%
400 nm to 2 500 nm: ± 0.05% ","4,375 for one combination of wavelength and beam size of one photo-detector",Flux superposition method,13032-12900
