ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
114.0,"Noble-metal Thermocouples
(Type S, Type R, Type B, Au/Pt)",-40 °C to 0 °C,0.2 K,"4,000 first point  +  1,200/next point",By comparison with standard TC  or SPRT in comparison furnace  Minimum sheath length 450 mm,11020 - 12312
115.0,Base-metal Thermocouples ,-196  °C,0.3 K,"4,000 first point",By comparison with standard TC,11020 - 12321
116.0,"Fabrication of Standard Thermocouples Type R, Type S, Type B  with fixed point calibration  (wires not included)
",0 °C to 1100 °C,0.3 K,"36,500",Electrical Annealing and re-fabrication thermocouple with calibration certificate by ITS-90 Fixed Point Cells.,11020 - 22314
117.0,Liquid-in-glass Thermometer,-40 °C to 90 °C,15 mK,"4,000 first point+ 1,000/next point",By Comparison with  SPRTs in stirred liquid bath,11020 - 12411
118.0,"Digital Thermometer with resistance probe
",- 196 oC,15 mK,"5,000 first point","By Comparison with  SPRTs 
in stirred liquid bath/ Furnace/ LN2 comparator",11020 - 12711
119.0,Digital Thermometer with thermocouple probe,- 196 oC,0.4 K,"5,000 first point+ 1,500/next point","By Comparison with  SPRTs /TC 
in stirred liquid bath /Furnace",11020 - 12714
120.0,Temperature Bath,-80oC to 25oC ,20 mK,"4,000 first point +
1,000/next point",By Comparison with SPRTs ,11020 - 12861
121.0,Temperature block calibrator and Furnace,-40 °C to 660 °C,0.1 K,"5,000 first point + 3,500/next point",By Comparison with two SPRTs/TCs in measurement zone of temperature block calibrator,11020 - 12862
122.0,Surface Thermomter ,35 º C to 200  º C,0.5 K,"5,000 first point + 1,500/next point",Comparison with its reading with the temperature of reference surface heat source.,11020 - 12713
123.0,Surface calibrator,35 º C to 200  º C,0.4 K,"5,000 first point + 2,000/next point",Comparison with reference  standard temperature ,11020 - 12863
124.0,Calibration of Gallium cell:  model A ,29.7646 °C,5 mK,"12,500 /point",Direct measurement with SPRT,11020 - 12111
125.0,Calibration of Gallium cell:  model B,29.76 °C,20 mK,"6,500 /point",Direct measurement with PRT,11020 - 12112
126.0,Dew Point Hygrometer,-90 oC to  -75 oC,0.4 K,"8,000/point",Comparison with two ,11040 - 13116
127.0,Dew Point Hygrometer,- 75 °C to -25 °C,0.3 K,"8,000/point",Comparison with two ,11040 - 13111
128.0,Dew Point Hygrometer,- 25 °C to -10 °C,0.2 K,"8,000/point",Comparison with two ,11040 - 13112
129.0,Dew Point Hygrometer,-10 °C to 1 °C,0.07 K,"7,000/point",Comparison with two pressure ,11040 - 13113
130.0,Dew Point Hygrometer,1 °C to 30 °C,0.06 K,"7,000/point",Comparison with two pressure ,11040 - 13114
131.0,Dew Point Hygrometer,30 oC to 60 oC,0.07 K,"8,000/point",Comparison with two pressure humidity generator,11040 - 13115
132.0,Dew Point Hygrometer,10 °C to 95 °C,0.03 K,"10,000/point",Comparison with NIMT single temperature humidity generator,11040 - 13116
133.0,"Relative Hygrometer(At chamber temperature : 
15 oC to 60 oC )",15 % to 50 %,0.40%,"8,000/point",Comparison with two temperature two pressure Humidity Generator ,11040 - 13311
134.0,"Relative Hygrometer(At chamber temperature : 
15 oC to 60 oC )",50 % to 80 %,0.70%,"7,000/point",Comparison with two temperature two pressure Humidity Generator ,11040 - 13312
135.0,"Relative Hygrometer(At chamber temperature : 
15 oC to 60 oC )",80 % to 98 %,0.90%,"7,000/point",Comparison with two temperature two pressure Humidity Generator ,11040 - 13313
136.0,Thermo-Hygrometer,Humidity (35 to 95)%RH,(1.5 to 3) %RH,"3,130 first point
+ 500/next point",Comparison with PRT and Chilled Mirror Hygrometer in Controlled Chamber,11040 - 13411
137.0,Data Logger (Air Type),Temperature 15 °C to 50 °C,(0.5  to 1) °C,"3,130 first point+ 500/next point",Comparison with PRT and Chilled Mirror Hygrometer in Controlled Chamber,11040 - 13412
138.0,Air temperature sensor and Relative Humidity Sensor,-70 oC to 60 oC,0.1 oC,"5,000/First point 
+2,500 Next point",Comparison to a reference thermometer in an air circulated chamber immersed in liquid bath,11040 - 12611
139.0,Dew-Point Generator,(-10 oC to 50 oC) dew-point,0.07 oC to 0.1 oC ,"17,500/First point 
+4,000 Next point",Comparison with dew-point hygrometer ,11040 - 14411
140.0,Relative humidity generator,"12 % to 92 % 
(at the air temperature 
from 10 °C to 40 °C)",0.1 % to 0.6 %,"17,500/First point 
+4,000 Next point",Comparison to dew-point hygrometer and reference thermometer,11040-14421
141.0,"Moisture meter in rice and paddy (Capacitance, Resistance and NIR type)
",10 %MC to 30 %MC,0.5 %MC,"1,500/point ",Comparison with CRM moisture Content in paddy,11040-15111
142.0,Reference temperature source for testing / calibration of clinical thermometers,"35.0 °C to 42.0 °C
(up to 150 °C)","40 mK
(uniformity and stability)",81400,Model: NIMT-TM-B-01 ,11030-32861
143.0,"Reference temperature source for testing / calibration of clinical thermometers
","35.0 °C to 42.0 °C
(up to 150 °C)","40 mK
(uniformity and stability)",55700,Model: NIMT-TM-B-02 ,11030-32862
144.0,Reference temperature source for testing / calibration of clinical thermometers ,"30.0 °C to 40.0 °C
(up to 150 °C)","30 mK
(uniformity and stability)",105000,"Model: NIMT-TM-B43L-03 
(volume 43 Liters)",11030-32863
145.0,Blackbody cavity (En-type),35.0 °C to 42.0 °C,Emissivity : 0.9995 ± 0.0005,26000,Model: NIMT-TM-BC-01En,11030-32521
146.0,Blackbody cavity ,30.0 °C to 40.0 °C,Emissivity : 0.999 ± 0.001,45000,"Model: NIMT-TM-BC-02FHT
(aperture 50 mm suitable for infrared/forehead thermometers) ",11030-32522
147.0,Reference thermometer (1 probe),-50 °C to 70 °C,20 mK,10300,Model: NIMT-TM-DTM-01,11030-32711
148.0,Reference thermometer (2 probes),-50 °C to 70 °C,20 mK,12700,Model: NIMT-TM-DTM-02,11030-32712
149.0,Supply of Thermocouple Type S  with fixed point calibration ,0 °C to 1100 °C,0.3 K,"99,000",Supply of thermocouple with calibration certificate by ITS-90 Fixed Point Cells.,11020-22311
150.0,Supply of Thermocouple Type S  with fixed point calibration ,0 °C to 1100 °C,0.3 K,"102,500",Supply of thermocouple with calibration certificate by ITS-90 Fixed Point Cells.,11020-22311
151.0,Supply of Thermocouple Type B  with fixed point calibration ,0 °C to 1100 °C,0.3 K,"102,500",Supply of thermocouple with calibration certificate by ITS-90 Fixed Point Cells.,11020-22313
152.0,Supply of Gallium Cell model A with Calibration ,29.7646 °C,5 mK,"32,000","Ga cell suitable for IPRT, DTM calibration & verification",11020-22111
153.0,Supply of Gallium Cell model B with Calibration ,29.76 °C,20 mK,"12,000","Ga cell suitable for DTM, IOT sensors calibration & verification",11020-22112
154.0,CRM for Moisture Content in Rice or Paddy,10 %MC to 20 %MC,0.15 %MC to 0.2 %MC,"2,500 Bath/100 g/ %MC",The assigned value was obtained from  loss on drying method.,11040 - 25111
155.0,CRM for Moisture Content in Rice Powder,5% %MC to 20 %MC,0.15 %MC to 0.3 %MC,"2,500 Bath/100 g/ %MC",The assigned value was obtained from  loss on drying method.,11040 - 25112
156.0,CRM for Saturated Salt Solution for relative Humidity Unit,"Humidity (33 to 75)%RH at 
Air Temperature (15 °C to 25 °C)",(2.0 to 3.0) %RH,"2,500 Bath/1 Bottle/ %RH",The assigned value was obtained from  a thermo-hygrometer in the relative humidity (RH) fixed points method.,11040 - 25113
157.0,Temperature Measurement Platform,-30 oC to 100 oC,30 mK,"2,500 Bath/Hr.",Comparison with temperature sensor standard in liquid calibration bath.,11040 - 25114
158.0,Humidity Measurement Platform,33%RH to 75%RH,(1.5 to 2.5)%RH,"2,500 Bath/Hr.",Comparison with Humidity sensor Standard and humidity ambient by Saturated salt solutions,11040 - 25115
159.0,Standard Platinum Resistance Thermometer (SPRTs),-196oC,25 mK,"5,000 first point
 +  1,500/next point
At least 6 points",By Comparison with SPRTs in stirred liquid bath Minimum sheath length 300 mm,11020 - 12221
160.0,Industrial Platinum Resistance Thermometers (IPRTs),-196oC,25 mK,"5,000 first point
 +  1,500/next point
At least 6 points",By Comparison with SPRTs in stirred liquid bath Minimum sheath length 300 mm,11020 - 12222
161.0,"Digital Thermometer (with resistance probe)
    ",- 196 oC,40 mK,"4,000 first point
+ 1,500 / next point","By Comparison with  SPRTs 
in stirred liquid bath/ Furnace/ LN2 comparator",11020 - 12712
162.0,Digital Thermometer with thermocouple probe,- 196 °C,0.6 K,"4,000 first point+ 1,500/next point","By Comparison with  SPRTs /TC 
in stirred liquid bath /Furnace",11020 - 12714
163.0,Dew Point Hygrometer,-10 °C to 1 °C,0.1 K,"5,630/point",Comparison with two pressure ,11041 - 13113
164.0,Dew Point Hygrometer,1 °C to 30 °C,0.1 K,"5,630/point",Comparison with two pressure ,11041 - 13114
165.0,Dew Point Hygrometer,30 oC to 60 oC,0.1 K,"6,300/point",Comparison with two pressure humidity generator,11041 - 13115
166.0,"Relative Hygrometer(At chamber temperature : 
15 oC to 60 oC )",15 % to 50 %,0.60%,"6,300/point",Comparison with two temperature two pressure Humidity Generator ,11040 - 13311
167.0,"Relative Hygrometer(At chamber temperature : 
15 oC to 60 oC )",50 % to 80 %,1.00%,"5,630/point",Comparison with two temperature two pressure Humidity Generator ,11040 - 13312
168.0,"Relative Hygrometer(At chamber temperature : 
15 oC to 60 oC )",80 % to 98 %,1.20%,"5,630/point",Comparison with two temperature two pressure Humidity Generator ,11040 - 13313
2511.0,Spectral responsivity of a PV device ,"Wavelength: 300 nm ? ? ?  1200 nm
Power level: 0.2 mW to 4 mW","2.0%, varied by DUT, wavelength and power level","10,000 for the first bias light level + 5,000 for additional bias light level",IEC 60904-8 Clause 7,13050-12001
2512.0,Spectral responsivity of a broadband detector,Wavelength: 400 nm ? l ? 800 nmPower level: 4.8 nW to 2.6 mW,0.25% to 0.22%,"20,000 for 10 nm step, 
30,000 for 5 nm step",Comparison agianst two reference trap-detectors under monochromatic radiation,13031-12011
2513.0,Illuminance responsivity of an illuminance meter or a lux meter (LED source),1 000 lx < Eu <120 000 lx5 780 K < CCT < 5 930 K,1.2% (1000 lx ? Eu? 10000 lx)1.6% (10000 lx < Eu ? 120000 lx)varied with illuminance level,"15,000 (15 calibration points)",Detector-based comparison against reference photometers using LED source,13011-11022
2514.0,650 nm standard radiation thermometer (thermodynamic temperature),2474 ?C,1.7 K,"48,000/point",By Comparison with Metal-Carbon fixed point blackbody cells (Thermodynamic temperature),11030-17123
2515.0,Temperature transmitter,-50 oC to 200 oC,1.5 K,"5,000 first point
+ 1,500/next point",y Comparison with SPRTs in stirred liquid bath,11020-12621
2516.0,"Fixed-point Blackbody
(thermodynamic temperature)",Zn (419.5408 oC),0.14 K,"24,000 / point",Comparison to Standard Fixed-point Blackbody using 0.9 ?m standard radiation thermometer (thermodynamic temperature),11030-17112
2517.0,Fixed point cells,419.527 oC,0.6 mK,"25,000/point",Direct realization,11010-1111
2518.0,"Metal-Carbon Fixed point cells
(thermodynamic temperature)",Re-C (2474 oC),1.6 K,"60,000/point",Comparison with Ag/Cu fixed point using a 650-nm radiation thermometers (thermodynamic temperature),11030-17113
,"Integrated Irradiance Responsivity of a Bilirubin Phototherapy Radiometer 


","""1.0 mW?cm-2?nm-2 ? Eb (l) ? 20.0 
mW?cm-2?nm-2
425 nm ? l ? 475 nm
(Based on AAP CPG)""
","""2.2 %
 varied with mean spectral irradiance level and DUT""
","6,250 for the first level 
point + 3,750 for any additional 
level poin","""Source based calibration against a working standard spectroradiometer 
by using a 445 nm blue LED panel 
light source as the calibration light source""


",13034-12096
,"Integrated Irradiance Responsivity of a Bilirubin Phototherapy Radiometer 


","""50.0 mW?cm-2 ? Eb ? 750.0 mW?cm-2
400 nm ? l ? 500 nm
(Other CPGs)""
","""2.1 %
 varied with irradiance level and DUT""
","6,250 for the first level 
point + 3,750 for any additional 
level poin","""Source based calibration against a working standard spectroradiometer 
by using a 445 nm blue LED panel 
light source as the calibration light source""


",13034-12096
,"Integrated Irradiance Responsivity of a Bilirubin Phototherapy Radiometer 


","""50.0 mW?cm-2 ? Eb ? 1 000.0 mW?cm-2
400 nm ? l ? 550 nm
(Based on IEC 60601-2-50)""
","""2.2 %
 varied with irradiance level and DUT""
","6,250 for the first level 
point + 3,750 for any additional 
level poin","""Source based calibration against a working standard spectroradiometer 
by using a 445 nm blue LED panel 
light source as the calibration light source""


",13034-12096
,Solar simulator performance testing according to IEC 60904-9,"Data sampling time of DUT ? 100 ms for instability evaluation
","0.05%
","7,500 for LTI and STI 3,500 for LTI only ",,13034-33014
,Solar simulator performance testing according to IEC 60904-9,"80% of active area for non-uniformity evaluation
","0.01%
","12,000 for 98 test positions + 500/additional test position",,13034-33014
,Spectral irradiance of a tungsten- 1 halogen lamp (FEL and Ushio type),"250 nm ??? 430 nm
430 nm <?? 1 100 nm
 100 nm <?? 1 800 nm
 1 800 nm <?? 2 400 nm","3.6% to 2.2%
2.2% to 1.7%
2.1% to 3.2%
3.2% to 6.8%","11,250 for the first range of the first lamp
+ 5,630 for the first range of any additional lamp of the same type + 3,750 for any additional range",By scanning measurements against a set of two spectral irradiance  standard lamps using a double subtractive monochromator,13037-13011
,Spectral responsivity of a PV device,"Wavelength: 300 nm ? ? ?  1200 nm
Power level: 0.2 mW to 4 mW","2.0%, varied by DUT, wavelength and power level","10,000 for the first bias light level + 5,000 for additional bias light level",IEC 60904-8 Clause 7,13050-12001
