date,provice,pm25,hotspot
25/11/2022,หนองบัวลำภู,9,0
25/11/2022,บึงกาฬ,11,0
26/11/2022,เลย,9,0
26/11/2022,หนองคาย,13,0
26/11/2022,อุดรธานี,6,0
26/11/2022,สกลนคร,7,0
26/11/2022,นครพนม,10,0
26/11/2022,หนองบัวลำภู,7,0
26/11/2022,บึงกาฬ,14,0
27/11/2022,เลย,9,0
27/11/2022,หนองคาย,10,0
27/11/2022,อุดรธานี,9,0
27/11/2022,สกลนคร,5,0
27/11/2022,นครพนม,9,0
27/11/2022,หนองบัวลำภู,11,0
27/11/2022,บึงกาฬ,11,0
28/11/2022,เลย,6,0
28/11/2022,หนองคาย,21,1
28/11/2022,อุดรธานี,12,0
28/11/2022,สกลนคร,12,0
28/11/2022,นครพนม,15,0
28/11/2022,หนองบัวลำภู,17,0
28/11/2022,บึงกาฬ,33,0
29/11/2022,เลย,10,1
29/11/2022,หนองคาย,27,4
29/11/2022,อุดรธานี,13,0
29/11/2022,สกลนคร,12,0
29/11/2022,นครพนม,21,0
29/11/2022,หนองบัวลำภู,26,0
29/11/2022,บึงกาฬ,14,0
30/11/2022,เลย,15,1
30/11/2022,หนองคาย,27,3
30/11/2022,อุดรธานี,18,0
30/11/2022,สกลนคร,18,0
30/11/2022,นครพนม,29,0
30/11/2022,หนองบัวลำภู,24,0
30/11/2022,บึงกาฬ,13,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
