date,provice,pm25,hotspot
25/04/2023,หนองบัวลำภู,24,1
25/04/2023,บึงกาฬ,30,3
26/04/2023,เลย,28,0
26/04/2023,หนองคาย,44,2
26/04/2023,อุดรธานี,30,1
26/04/2023,สกลนคร,17,0
26/04/2023,นครพนม,19,1
26/04/2023,หนองบัวลำภู,23,0
26/04/2023,บึงกาฬ,25,0
27/04/2023,เลย,27,0
27/04/2023,หนองคาย,36,4
27/04/2023,อุดรธานี,26,20
27/04/2023,สกลนคร,13,15
27/04/2023,นครพนม,28,10
27/04/2023,หนองบัวลำภู,25,2
27/04/2023,บึงกาฬ,28,0
28/04/2023,เลย,30,5
28/04/2023,หนองคาย,52,1
28/04/2023,อุดรธานี,31,10
28/04/2023,สกลนคร,28,1
28/04/2023,นครพนม,39,0
28/04/2023,หนองบัวลำภู,28,1
28/04/2023,บึงกาฬ,36,3
29/04/2023,เลย,41,12
29/04/2023,หนองคาย,58,7
29/04/2023,อุดรธานี,36,9
29/04/2023,สกลนคร,31,17
29/04/2023,นครพนม,47,7
29/04/2023,หนองบัวลำภู,32,1
29/04/2023,บึงกาฬ,36,3
30/04/2023,เลย,27,0
30/04/2023,หนองคาย,36,0
30/04/2023,อุดรธานี,25,0
30/04/2023,สกลนคร,16,0
30/04/2023,นครพนม,22,0
30/04/2023,หนองบัวลำภู,23,0
30/04/2023,บึงกาฬ,26,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
