date,provice,pm25,hotspot
22/12/2022,นครพนม,53,1
22/12/2022,หนองบัวลำภู,43,0
22/12/2022,บึงกาฬ,51,5
23/12/2022,เลย,43,5
23/12/2022,หนองคาย,45,0
23/12/2022,อุดรธานี,42,4
23/12/2022,สกลนคร,42,10
23/12/2022,นครพนม,64,0
23/12/2022,หนองบัวลำภู,51,0
23/12/2022,บึงกาฬ,68,0
24/12/2022,เลย,45,2
24/12/2022,หนองคาย,33,0
24/12/2022,อุดรธานี,30,3
24/12/2022,สกลนคร,25,5
24/12/2022,นครพนม,38,0
24/12/2022,หนองบัวลำภู,28,7
24/12/2022,บึงกาฬ,26,0
25/12/2022,เลย,28,1
25/12/2022,หนองคาย,23,4
25/12/2022,อุดรธานี,17,7
25/12/2022,สกลนคร,19,2
25/12/2022,นครพนม,28,4
25/12/2022,หนองบัวลำภู,31,1
25/12/2022,บึงกาฬ,26,1
26/12/2022,เลย,35,7
26/12/2022,หนองคาย,35,2
26/12/2022,อุดรธานี,30,5
26/12/2022,สกลนคร,19,7
26/12/2022,นครพนม,28,5
26/12/2022,หนองบัวลำภู,26,3
26/12/2022,บึงกาฬ,32,0
27/12/2022,เลย,35,2
27/12/2022,หนองคาย,36,1
27/12/2022,อุดรธานี,28,3
27/12/2022,สกลนคร,14,4
27/12/2022,นครพนม,31,5
27/12/2022,หนองบัวลำภู,25,1
27/12/2022,บึงกาฬ,22,3
28/12/2022,เลย,32,1
28/12/2022,หนองคาย,24,0
28/12/2022,อุดรธานี,21,8
28/12/2022,สกลนคร,12,4
28/12/2022,นครพนม,21,0
28/12/2022,หนองบัวลำภู,15,3
28/12/2022,บึงกาฬ,20,0
29/12/2022,เลย,25,1
29/12/2022,หนองคาย,25,0
29/12/2022,อุดรธานี,18,0
29/12/2022,สกลนคร,14,1
29/12/2022,นครพนม,26,2
29/12/2022,หนองบัวลำภู,17,3
29/12/2022,บึงกาฬ,14,0
30/12/2022,เลย,27,3
30/12/2022,หนองคาย,23,0
30/12/2022,อุดรธานี,18,11
30/12/2022,สกลนคร,20,5
30/12/2022,นครพนม,32,6
30/12/2022,หนองบัวลำภู,18,3
30/12/2022,บึงกาฬ,16,0
31/12/2022,เลย,27,1
31/12/2022,หนองคาย,21,1
31/12/2022,อุดรธานี,16,8
31/12/2022,สกลนคร,18,7
31/12/2022,นครพนม,37,6
31/12/2022,หนองบัวลำภู,17,0
31/12/2022,บึงกาฬ,12,2
