date,provice,pm25,hotspot
20/3/2024,หนองบัวลำภู,23.2,3
20/3/2024,บึงกาฬ,15.1,0
21/3/2024,เลย,17.3,0
21/3/2024,หนองคาย,25.6,0
21/3/2024,อุดรธานี,12.9,0
21/3/2024,สกลนคร,9.2,0
21/3/2024,นครพนม,14.1,0
21/3/2024,หนองบัวลำภู,7.5,0
21/3/2024,บึงกาฬ,7.1,0
22/3/2024,เลย,31.7,7
22/3/2024,หนองคาย,33.3,0
22/3/2024,อุดรธานี,30.3,7
22/3/2024,สกลนคร,26.5,6
22/3/2024,นครพนม,68.5,9
22/3/2024,หนองบัวลำภู,20.4,0
22/3/2024,บึงกาฬ,17.8,0
23/3/2024,เลย,49.6,13
23/3/2024,หนองคาย,33.2,0
23/3/2024,อุดรธานี,37.7,10
23/3/2024,สกลนคร,35.9,7
23/3/2024,นครพนม,69.1,10
23/3/2024,หนองบัวลำภู,35.4,3
23/3/2024,บึงกาฬ,26.1,3
24/3/2024,เลย,40.9,16
24/3/2024,หนองคาย,33.2,0
24/3/2024,อุดรธานี,39.5,2
24/3/2024,สกลนคร,42.1,1
24/3/2024,นครพนม,64.7,0
24/3/2024,หนองบัวลำภู,37.3,0
24/3/2024,บึงกาฬ,38.2,0
25/3/2024,เลย,24.8,74
25/3/2024,หนองคาย,32.9,9
25/3/2024,อุดรธานี,36.9,11
25/3/2024,สกลนคร,40.1,3
25/3/2024,นครพนม,76.3,10
25/3/2024,หนองบัวลำภู,26.9,9
25/3/2024,บึงกาฬ,35,5
26/3/2024,เลย,50.3,13
26/3/2024,หนองคาย,34.2,0
26/3/2024,อุดรธานี,50.3,0
26/3/2024,สกลนคร,47.9,0
26/3/2024,นครพนม,67.8,2
26/3/2024,หนองบัวลำภู,39.4,0
26/3/2024,บึงกาฬ,36,1
27/3/2024,เลย,41.9,21
27/3/2024,หนองคาย,28.7,0
27/3/2024,อุดรธานี,37.8,2
27/3/2024,สกลนคร,45.7,2
27/3/2024,นครพนม,47.6,0
27/3/2024,หนองบัวลำภู,32.5,3
27/3/2024,บึงกาฬ,36.6,0
28/3/2024,เลย,24.7,4
28/3/2024,หนองคาย,28.7,0
28/3/2024,อุดรธานี,30.4,0
28/3/2024,สกลนคร,27.3,2
28/3/2024,นครพนม,81.1,6
28/3/2024,หนองบัวลำภู,25.7,0
28/3/2024,บึงกาฬ,30.1,3
29/3/2024,เลย,26.3,13
29/3/2024,หนองคาย,29.8,0
29/3/2024,อุดรธานี,46,0
29/3/2024,สกลนคร,29.6,9
29/3/2024,นครพนม,71.5,5
29/3/2024,หนองบัวลำภู,47.6,2
29/3/2024,บึงกาฬ,36.1,0
30/3/2024,เลย,30.1,2
30/3/2024,หนองคาย,25.9,0
30/3/2024,อุดรธานี,27.9,3
30/3/2024,สกลนคร,30.4,2
30/3/2024,นครพนม,37.6,3
30/3/2024,หนองบัวลำภู,23.9,1
30/3/2024,บึงกาฬ,39.2,0
31/3/2024,เลย,33.6,7
31/3/2024,หนองคาย,23.6,0
31/3/2024,อุดรธานี,35,10
31/3/2024,สกลนคร,31.2,7
31/3/2024,นครพนม,51.9,2
31/3/2024,หนองบัวลำภู,34.4,4
31/3/2024,บึงกาฬ,26.9,0
