date,provice,pm25,hotspot
22/07/2023,อุดรธานี,11.2,0
22/07/2023,สกลนคร,6.1,0
22/07/2023,นครพนม,9.5,0
22/07/2023,หนองบัวลำภู,13,0
22/07/2023,บึงกาฬ,10,0
23/07/2023,เลย,6.9,0
23/07/2023,หนองคาย,8.3,0
23/07/2023,อุดรธานี,11.1,0
23/07/2023,สกลนคร,4.2,0
23/07/2023,นครพนม,8.6,0
23/07/2023,หนองบัวลำภู,11,0
23/07/2023,บึงกาฬ,12,0
24/07/2023,เลย,9.5,0
24/07/2023,หนองคาย,8.6,0
24/07/2023,อุดรธานี,7.1,0
24/07/2023,สกลนคร,4.8,0
24/07/2023,นครพนม,7.8,0
24/07/2023,หนองบัวลำภู,8,0
24/07/2023,บึงกาฬ,3,0
25/07/2023,เลย,7.7,0
25/07/2023,หนองคาย,5.7,0
25/07/2023,อุดรธานี,7,0
25/07/2023,สกลนคร,4.7,0
25/07/2023,นครพนม,7.6,0
25/07/2023,หนองบัวลำภู,6,0
25/07/2023,บึงกาฬ,16,0
26/07/2023,เลย,9.7,0
26/07/2023,หนองคาย,10.8,0
26/07/2023,อุดรธานี,10.9,0
26/07/2023,สกลนคร,5.2,0
26/07/2023,นครพนม,8.7,0
26/07/2023,หนองบัวลำภู,13,0
26/07/2023,บึงกาฬ,13,0
27/07/2023,เลย,8,0
27/07/2023,หนองคาย,13,0
27/07/2023,อุดรธานี,13,0
27/07/2023,สกลนคร,10,0
27/07/2023,นครพนม,9,0
27/07/2023,หนองบัวลำภู,12,0
27/07/2023,บึงกาฬ,15,0
28/07/2023,เลย,8,0
28/07/2023,หนองคาย,11,0
28/07/2023,อุดรธานี,12,0
28/07/2023,สกลนคร,8,0
28/07/2023,นครพนม,9,0
28/07/2023,หนองบัวลำภู,10,0
28/07/2023,บึงกาฬ,11,0
29/07/2023,เลย,7,0
29/07/2023,หนองคาย,6,0
29/07/2023,อุดรธานี,9,0
29/07/2023,สกลนคร,7,0
29/07/2023,นครพนม,7,0
29/07/2023,หนองบัวลำภู,8,0
29/07/2023,บึงกาฬ,6,0
30/07/2023,เลย,8,0
30/07/2023,หนองคาย,6,0
30/07/2023,อุดรธานี,11,0
30/07/2023,สกลนคร,7,0
30/07/2023,นครพนม,10,0
30/07/2023,หนองบัวลำภู,9,0
30/07/2023,บึงกาฬ,8,0
31/07/2023,เลย,9,0
31/07/2023,หนองคาย,5,0
31/07/2023,อุดรธานี,10,0
31/07/2023,สกลนคร,8,0
31/07/2023,นครพนม,9,0
31/07/2023,หนองบัวลำภู,12,0
31/07/2023,บึงกาฬ,9,0
