date,provice,pm25,hotspot
22/06/2023,นครพนม,14,0
22/06/2023,หนองบัวลำภู,10,0
22/06/2023,บึงกาฬ,9,2
23/06/2023,เลย,11,0
23/06/2023,หนองคาย,15,0
23/06/2023,อุดรธานี,13,0
23/06/2023,สกลนคร,10,0
23/06/2023,นครพนม,18,0
23/06/2023,หนองบัวลำภู,8,0
23/06/2023,บึงกาฬ,12,0
24/06/2023,เลย,9,0
24/06/2023,หนองคาย,18,0
24/06/2023,อุดรธานี,14,0
24/06/2023,สกลนคร,12,0
24/06/2023,นครพนม,20,0
24/06/2023,หนองบัวลำภู,6,0
24/06/2023,บึงกาฬ,3,0
25/06/2023,เลย,9,0
25/06/2023,หนองคาย,7,0
25/06/2023,อุดรธานี,7,0
25/06/2023,สกลนคร,6,0
25/06/2023,นครพนม,9,0
25/06/2023,หนองบัวลำภู,7,0
25/06/2023,บึงกาฬ,17,0
26/06/2023,เลย,6,0
26/06/2023,หนองคาย,12,0
26/06/2023,อุดรธานี,11,0
26/06/2023,สกลนคร,7,0
26/06/2023,นครพนม,7,0
26/06/2023,หนองบัวลำภู,5,0
26/06/2023,บึงกาฬ,10,0
27/06/2023,เลย,4,0
27/06/2023,หนองคาย,7,0
27/06/2023,อุดรธานี,10,0
27/06/2023,สกลนคร,6,0
27/06/2023,นครพนม,10,0
27/06/2023,หนองบัวลำภู,7,0
27/06/2023,บึงกาฬ,8,0
28/06/2023,เลย,5,0
28/06/2023,หนองคาย,14,0
28/06/2023,อุดรธานี,10,0
28/06/2023,สกลนคร,7,0
28/06/2023,นครพนม,13,0
28/06/2023,หนองบัวลำภู,5,0
28/06/2023,บึงกาฬ,10,0
29/06/2023,เลย,9,0
29/06/2023,หนองคาย,19,0
29/06/2023,อุดรธานี,18,0
29/06/2023,สกลนคร,11,0
29/06/2023,นครพนม,17,0
29/06/2023,หนองบัวลำภู,11,0
29/06/2023,บึงกาฬ,21,0
30/06/2023,เลย,10,0
30/06/2023,หนองคาย,14,0
30/06/2023,อุดรธานี,17,0
30/06/2023,สกลนคร,12,0
30/06/2023,นครพนม,16,0
30/06/2023,หนองบัวลำภู,18,0
30/06/2023,บึงกาฬ,24,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
