date,provice,pm25,hotspot
25/02/2023,หนองบัวลำภู,29,14
25/02/2023,บึงกาฬ,17,2
26/02/2023,เลย,38,94
26/02/2023,หนองคาย,28,9
26/02/2023,อุดรธานี,27,45
26/02/2023,สกลนคร,26,56
26/02/2023,นครพนม,41,43
26/02/2023,หนองบัวลำภู,27,16
26/02/2023,บึงกาฬ,24,3
27/02/2023,เลย,51,162
27/02/2023,หนองคาย,47,10
27/02/2023,อุดรธานี,34,50
27/02/2023,สกลนคร,32,54
27/02/2023,นครพนม,46,19
27/02/2023,หนองบัวลำภู,38,26
27/02/2023,บึงกาฬ,48,2
28/02/2023,เลย,62,110
28/02/2023,หนองคาย,74,8
28/02/2023,อุดรธานี,33,50
28/02/2023,สกลนคร,24,48
28/02/2023,นครพนม,45,32
28/02/2023,หนองบัวลำภู,42,24
28/02/2023,บึงกาฬ,54,2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
