date,provice,pm25,hotspot
22/01/2023,นครพนม,58,7
22/01/2023,หนองบัวลำภู,42,13
22/01/2023,บึงกาฬ,30,4
23/01/2023,เลย,31,14
23/01/2023,หนองคาย,68,2
23/01/2023,อุดรธานี,49,17
23/01/2023,สกลนคร,37,12
23/01/2023,นครพนม,72,14
23/01/2023,หนองบัวลำภู,46,9
23/01/2023,บึงกาฬ,37,1
24/01/2023,เลย,28,9
24/01/2023,หนองคาย,33,3
24/01/2023,อุดรธานี,25,9
24/01/2023,สกลนคร,26,22
24/01/2023,นครพนม,37,1
24/01/2023,หนองบัวลำภู,34,8
24/01/2023,บึงกาฬ,34,7
25/01/2023,เลย,13,14
25/01/2023,หนองคาย,21,0
25/01/2023,อุดรธานี,20,19
25/01/2023,สกลนคร,26,9
25/01/2023,นครพนม,42,3
25/01/2023,หนองบัวลำภู,22,5
25/01/2023,บึงกาฬ,25,2
26/01/2023,เลย,24,14
26/01/2023,หนองคาย,36,3
26/01/2023,อุดรธานี,36,8
26/01/2023,สกลนคร,34,12
26/01/2023,นครพนม,62,11
26/01/2023,หนองบัวลำภู,46,5
26/01/2023,บึงกาฬ,40,4
27/01/2023,เลย,26,14
27/01/2023,หนองคาย,67,12
27/01/2023,อุดรธานี,35,15
27/01/2023,สกลนคร,35,23
27/01/2023,นครพนม,67,12
27/01/2023,หนองบัวลำภู,53,16
27/01/2023,บึงกาฬ,38,3
28/01/2023,เลย,16,13
28/01/2023,หนองคาย,14,12
28/01/2023,อุดรธานี,12,20
28/01/2023,สกลนคร,15,23
28/01/2023,นครพนม,16,7
28/01/2023,หนองบัวลำภู,16,4
28/01/2023,บึงกาฬ,16,3
29/01/2023,เลย,44,15
29/01/2023,หนองคาย,23,1
29/01/2023,อุดรธานี,30,28
29/01/2023,สกลนคร,24,20
29/01/2023,นครพนม,48,7
29/01/2023,หนองบัวลำภู,33,9
29/01/2023,บึงกาฬ,36,11
30/01/2023,เลย,55,14
30/01/2023,หนองคาย,31,17
30/01/2023,อุดรธานี,43,17
30/01/2023,สกลนคร,31,18
30/01/2023,นครพนม,63,26
30/01/2023,หนองบัวลำภู,51,23
30/01/2023,บึงกาฬ,42,1
31/01/2023,เลย,74,21
31/01/2023,หนองคาย,31,1
31/01/2023,อุดรธานี,61,20
31/01/2023,สกลนคร,43,22
31/01/2023,นครพนม,91,9
31/01/2023,หนองบัวลำภู,82,11
31/01/2023,บึงกาฬ,58,1
