ปี,จังหวัด,จำนวน,หน่วย
2563,ลำปาง,27,ราย
2564,ลำปาง,27,ราย
2565,ลำปาง,27,ราย
2566,ลำปาง,28,ราย
2567,ลำปาง,28,ราย
2568,ลำปาง,28,ราย
