Year,Province,District,Dataset_Group,Dataset_name,Item,Vlue,Unit,Source,หน่วยงานเจ้าของข้อมูล
2565,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,0.23,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,0.25,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,218.39,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,376.91,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,552.25,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,0.754,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,4.26,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,0.93,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,1192.6,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,2029.51,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,3030.42,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,10.65,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,53.84,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
