ปี,รายการ,จำนวน,หน่วย
2566,พื้นที่เพาะปลูกอ้อยจากระบบการขึ้นทะเบียนเกษตรกร,64723.23,ไร่
2567,พื้นที่เพาะปลูกอ้อยจากระบบการขึ้นทะเบียนเกษตรกร,65787.53,ไร่
2568,พื้นที่เพาะปลูกอ้อยจากระบบการขึ้นทะเบียนเกษตรกร,61389.63,ไร่
