ปี,จังหวัด,จำนวน,หน่วย
2563,ลำปาง," 22,668 ",ไร่
2564,ลำปาง," 20,953 ",ไร่
2565,ลำปาง," 21,014 ",ไร่
2566,ลำปาง," 17,902 ",ไร่
2567,ลำปาง," 20,283 ",ไร่
2568,ลำปาง," 19,688 ",ไร่
