ปี,อำเภอ,พื้นที่,หน่วยนับ,ที่มา,
2566,เมืองอ่างทอง,"382,320",บาท,สำนักงานปศุสัตว์จังหวัดอ่างทอง,
2566,ไชโย,"551,260",บาท,สำนักงานปศุสัตว์จังหวัดอ่างทอง,
2566,ป่าโมก,"152,160",บาท,สำนักงานปศุสัตว์จังหวัดอ่างทอง,
2566,โพธิ์ทอง,"451,200",บาท,สำนักงานปศุสัตว์จังหวัดอ่างทอง,
2566,วิเศษชัยชาญ,"254,840",บาท,สำนักงานปศุสัตว์จังหวัดอ่างทอง,
2566,แสวงหา,0,บาท,สำนักงานปศุสัตว์จังหวัดอ่างทอง,
2566,สามโก้,0,บาท,สำนักงานปศุสัตว์จังหวัดอ่างทอง,
