ชื่อข้อมูล,ปี,จังหวัด/อำเภอ, ครัวเรือนเกษตรกร ,หน่วย,เจ้าของข้อมูล
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2562,อู่ทอง," 6,148 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2562,หนองหญ้าไซ, 9 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,จังหวัดสุพรรณบุรี," 35,563 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,เมืองสุพรรณบุรี," 4,097 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,เดิมบางนางบวช," 5,236 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,ด่านช้าง, 1 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,บางปลาม้า," 7,701 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,ศรีประจันต์," 1,672 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,ดอนเจดีย์, 121 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,สองพี่น้อง," 6,957 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,สามชุก," 2,401 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,อู่ทอง," 5,502 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2563,หนองหญ้าไซ," 2,602 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2564,จังหวัดสุพรรณบุรี," 39,602 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2564,เมืองสุพรรณบุรี," 6,616 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
