ชื่อข้อมูล,ปี,จังหวัด/อำเภอ,ครัวเรือนเกษตรกร,หน่วย,เจ้าของข้อมูล
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2562,อู่ทอง," 8,130 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2562,หนองหญ้าไซ," 5,082 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,จังหวัดสุพรรณบุรี," 60,328 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,เมืองสุพรรณบุรี," 8,740 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,เดิมบางนางบวช," 7,743 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,ด่านช้าง, 715 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,บางปลาม้า," 7,784 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,ศรีประจันต์," 5,155 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,ดอนเจดีย์," 4,670 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,สองพี่น้อง," 7,186 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,สามชุก," 5,661 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,อู่ทอง," 8,328 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2563,หนองหญ้าไซ," 5,885 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,จังหวัดสุพรรณบุรี," 61,208 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,เมืองสุพรรณบุรี," 8,734 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,เดิมบางนางบวช," 8,074 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,ด่านช้าง, 736 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,บางปลาม้า," 7,792 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,ศรีประจันต์," 5,130 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,ดอนเจดีย์," 4,998 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,สองพี่น้อง," 7,185 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,สามชุก," 5,971 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,อู่ทอง," 8,198 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2564,หนองหญ้าไซ," 6,015 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2565,จังหวัดสุพรรณบุรี," 61,537 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
