ปี,รายการ,จำนวน,หน่วย
2565,เกษตรกรที่ทำเกษตรปลอดภัย,"10,446",ราย
2566,เกษตรกรที่ทำเกษตรปลอดภัย,"12,569",ราย
2567,เกษตรกรที่ทำเกษตรปลอดภัย,"5,066",ราย
2568,เกษตรกรที่ทำเกษตรปลอดภัย,"3,790",ราย
