หน่วยงาน,เดือน,ประเภทภาษี,จำนวนเงิน(ล้านบาท)
ชลบุรี1,สิงหาคม,ภาษีเงินได้บุคคลธรรมดา,319.270
ชลบุรี1,สิงหาคม,ภาษีเงินได้นิติบุคคล,1228.984
ชลบุรี1,สิงหาคม,ภาษีเงินได้ปิโตรเลียม,0.000
ชลบุรี1,สิงหาคม,ภาษีมูลค่าเพิ่ม,641.935
ชลบุรี1,สิงหาคม,ภาษีธุรกิจเฉพาะ,67.492
ชลบุรี1,สิงหาคม,ภาษีการรับมรดก,0.000
ชลบุรี1,สิงหาคม,อากรแสตมป์,26.157
ชลบุรี1,สิงหาคม,รายได้อื่น ๆ,0.953
