หน่วยงาน,เดือน,ประเภทภาษี,จำนวนเงิน(ล้านบาท)
ชลบุรี1,กรกฎาคม,ภาษีเงินได้บุคคลธรรมดา,345.255
ชลบุรี1,กรกฎาคม,ภาษีเงินได้นิติบุคคล,550.383
ชลบุรี1,กรกฎาคม,ภาษีการค้า,0.000
ชลบุรี1,กรกฎาคม,ภาษีมูลค่าเพิ่ม,667.766
ชลบุรี1,กรกฎาคม,ภาษีธุรกิจเฉพาะ,94.170
ชลบุรี1,กรกฎาคม,ภาษีมรดก,0.000
ชลบุรี1,กรกฎาคม,ภาษีอากรแสตมป์,34.781
ชลบุรี1,กรกฎาคม,รายได้อื่น,1.322
