YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2567,กาญจนบุรี,015,รบ1,64.10
2567,กาฬสินธุ์,001,ทป3,47991411.91
2567,กาฬสินธุ์,001,ป2,1753800.00
2567,กาฬสินธุ์,001,ภงด1,64650024.99
2567,กาฬสินธุ์,001,ภงด2,11433258.41
2567,กาฬสินธุ์,001,ภงด3,46021187.51
2567,กาฬสินธุ์,001,ภงด90,46191406.65
2567,กาฬสินธุ์,001,ภงด91,39201306.70
2567,กาฬสินธุ์,001,ภงด93,53316949.28
2567,กาฬสินธุ์,001,ภงด94,12326808.79
2567,กาฬสินธุ์,002,ทป3,7832270.04
2567,กาฬสินธุ์,002,ป2,498300.00
2567,กาฬสินธุ์,002,ภงด50,83596986.71
2567,กาฬสินธุ์,002,ภงด51,74078739.12
2567,กาฬสินธุ์,002,ภงด53,78852879.47
2567,กาฬสินธุ์,002,ภงด54,172589.60
2567,กาฬสินธุ์,002,ภงด55,235608.38
2567,กาฬสินธุ์,005,ทป3,24924101.23
2567,กาฬสินธุ์,005,ป2,745000.00
2567,กาฬสินธุ์,005,ภพ30,797429362.31
2567,กาฬสินธุ์,005,ภพ36,5677507.99
2567,กาฬสินธุ์,006,ทป3,219940.81
2567,กาฬสินธุ์,006,ป2,30600.00
2567,กาฬสินธุ์,006,ภธ40,40958559.91
2567,กาฬสินธุ์,007,อส10,5724027.50
2567,กาฬสินธุ์,007,อส10.1,189475.00
2567,กาฬสินธุ์,007,อส4,3482686.75
2567,กาฬสินธุ์,007,อส4ก,62690.00
2567,กาฬสินธุ์,007,อส4ข,1093825.73
2567,กาฬสินธุ์,007,อส9,4453047.00
2567,กาฬสินธุ์,011,ป2,541100.00
2567,กำแพงเพชร,001,ทป3,32420095.74
2567,กำแพงเพชร,001,ป2,1534000.00
2567,กำแพงเพชร,001,ภงด1,50701286.28
2567,กำแพงเพชร,001,ภงด2,22210688.71
2567,กำแพงเพชร,001,ภงด3,45984975.98
2567,กำแพงเพชร,001,ภงด90,45105386.55
2567,กำแพงเพชร,001,ภงด91,22490103.58
2567,กำแพงเพชร,001,ภงด93,56136740.61
2567,กำแพงเพชร,001,ภงด94,10547827.92
2567,กำแพงเพชร,002,ทป3,6856243.82
2567,กำแพงเพชร,002,ป2,340000.00
2567,กำแพงเพชร,002,ภงด50,43859541.28
2567,กำแพงเพชร,002,ภงด51,38585455.02
2567,กำแพงเพชร,002,ภงด53,180923518.68
2567,กำแพงเพชร,002,ภงด54,165807.46
2567,กำแพงเพชร,002,ภงด55,349240.81
2567,กำแพงเพชร,005,ทป3,14511532.21
2567,กำแพงเพชร,005,ป2,348700.00
2567,กำแพงเพชร,005,ภพ30,2218800409.83
2567,กำแพงเพชร,005,ภพ36,6618240.62
2567,กำแพงเพชร,006,ทป3,188835.40
