ปี,รายการ,จำนวน,หน่วย
2566,จำนวนพื้นที่ปลูก ข้าวหอมมะลินาปี,"1,070,780",ไร่
2567,จำนวนพื้นที่ปลูก ข้าวหอมมะลินาปี,"1,072,901",ไร่
2568,จำนวนพื้นที่ปลูก ข้าวหอมมะลินาปี,"937,496",ไร่
