YEA_GOV,MON,TAX_TYPE,FORM_CODE,AMT_RCV
2566,01,001,ทป3,122584482.2
2566,01,002,ทป3,323390194.9
2566,01,005,ทป3,298683282.4
2566,01,006,ทป3,6814379.68
2566,01,007,ทป3,4349607.98
2566,01,070,ทป3,3149884.16
2566,01,001,ป2,11546300
2566,01,002,ป2,4991200
2566,01,005,ป2,6863200
2566,01,006,ป2,211300
2566,01,011,ป2,14462899
2566,01,001,ภงด1,33636534313
2566,01,001,ภงด2,6449048928
2566,01,001,ภงด3,2545315421
2566,01,002,ภงด50,1332956469
2566,01,002,ภงด51,846150564.1
2566,01,002,ภงด52,186667242.4
2566,01,002,ภงด53,18545010756
2566,01,002,ภงด54,9203878340
2566,01,002,ภงด55,29705084.22
2566,01,001,ภงด90,373493965.9
2566,01,001,ภงด91,179468115.7
2566,01,001,ภงด93,173020815.5
2566,01,001,ภงด94,37367434.79
2566,01,003,ภงป73,3127.07
2566,01,006,ภธ40,3961347165
2566,01,005,ภพ30,46722367987
2566,01,005,ภพ30.2,4323907.1
2566,01,005,ภพ309,612007151.6
2566,01,005,ภพ36,5115885139
2566,01,070,ภม60,120281919.4
2566,01,009,รบ1,0.5
2566,01,010,รบ1,9.5
2566,01,015,รบ1,23133.48
2566,01,007,อส10,74528961.32
2566,01,007,อส10.1,5802567
2566,01,007,อส4,301475292.2
2566,01,007,อส4ก,14054740
2566,01,007,อส4ข,313143107.6
2566,01,007,อส9,99397596
2566,02,001,ทป3,110248254.8
2566,02,002,ทป3,357245463.8
2566,02,005,ทป3,452548278.3
2566,02,006,ทป3,5856550.09
2566,02,007,ทป3,2747843.79
2566,02,070,ทป3,7944493.16
2566,02,001,ป2,13114300
2566,02,002,ป2,75807100
2566,02,005,ป2,6169100
2566,02,006,ป2,244500
2566,02,011,ป2,16309000
2566,02,001,ภงด1,22817324563
2566,02,001,ภงด2,2547667605
2566,02,001,ภงด3,1928712413
2566,02,002,ภงด50,2091304078
2566,02,002,ภงด51,1608068034
2566,02,002,ภงด52,4391145.25
2566,02,002,ภงด53,15546708245
2566,02,002,ภงด54,6470103841
2566,02,002,ภงด55,18935161.87
2566,02,001,ภงด90,946277540.8
2566,02,001,ภงด91,885210898.2
2566,02,001,ภงด93,350773353.7
2566,02,001,ภงด94,42471545.91
2566,02,003,ภงป70,395937570.2
2566,02,006,ภธ40,2935023651
2566,02,005,ภพ30,42387308336
2566,02,005,ภพ30.2,10678082.53
2566,02,005,ภพ30.3,13284.16
2566,02,005,ภพ309,628352101.2
2566,02,005,ภพ36,4283928744
2566,02,070,ภม60,172036083.2
2566,02,009,รบ1,2286.17
2566,02,010,รบ1,40.5
2566,02,015,รบ1,35196.05
2566,02,007,อส10,74734019.97
2566,02,007,อส10.1,5175636
2566,02,007,อส4,304085819.7
2566,02,007,อส4ก,16945053
2566,02,007,อส4ข,308308918.6
2566,02,007,อส9,99471748
2566,03,001,ทป3,192246398.5
2566,03,002,ทป3,362219499
2566,03,005,ทป3,391217184
2566,03,006,ทป3,10961314.51
2566,03,007,ทป3,2563697.4
2566,03,070,ทป3,20368852.4
2566,03,001,ป2,19668100
2566,03,002,ป2,37736600
2566,03,005,ป2,7906500
2566,03,006,ป2,330100
2566,03,011,ป2,18329801
2566,03,001,ภงด1,20931360225
2566,03,001,ภงด2,2923059289
2566,03,001,ภงด3,1927196932
2566,03,002,ภงด50,4421194134
2566,03,002,ภงด51,1607645028
2566,03,002,ภงด52,237640847.8
2566,03,002,ภงด53,15021056114
2566,03,002,ภงด54,9741842981
2566,03,002,ภงด55,56206334.63
2566,03,001,ภงด90,6594117294
2566,03,001,ภงด91,5918151387
2566,03,001,ภงด93,478694193.7
2566,03,001,ภงด94,75111252.76
2566,03,006,ภธ40,2711553087
2566,03,005,ภพ30,40238590819
2566,03,005,ภพ30.2,399427.28
2566,03,005,ภพ309,579268923
2566,03,005,ภพ36,5282530846
2566,03,070,ภม60,6227379.49
2566,03,009,รบ1,1
2566,03,010,รบ1,25.5
2566,03,015,รบ1,74650.63
2566,03,007,อส10,82256778.9
2566,03,007,อส10.1,5474671
2566,03,007,อส4,292608798.4
2566,03,007,อส4ก,14113893.02
2566,03,007,อส4ข,278354591.2
2566,03,007,อส9,100191525
2566,04,001,ทป3,1122229695
2566,04,002,ทป3,210731725.4
2566,04,005,ทป3,266297631.9
2566,04,006,ทป3,5414933.6
2566,04,007,ทป3,1958147.84
2566,04,070,ทป3,3149884.16
2566,04,001,ป2,20602900
2566,04,002,ป2,6994200
2566,04,005,ป2,6814500
2566,04,006,ป2,305100
2566,04,011,ป2,13030700
2566,04,001,ภงด1,23030628734
2566,04,001,ภงด2,3889316457
2566,04,001,ภงด3,2075472409
2566,04,002,ภงด50,1714068459
2566,04,002,ภงด51,1385585143
2566,04,002,ภงด52,570280223.9
2566,04,002,ภงด53,15940245816
2566,04,002,ภงด54,10299729835
2566,04,002,ภงด55,40833867.56
2566,04,001,ภงด90,5340060740
2566,04,001,ภงด91,3775000400
2566,04,001,ภงด93,228205158.3
2566,04,001,ภงด94,48610366.55
2566,04,006,ภธ40,3300937833
2566,04,005,ภพ30,44447037721
2566,04,005,ภพ30.3,56064.01
2566,04,005,ภพ309,640544784.4
2566,04,005,ภพ36,4643194119
2566,04,070,ภม60,3362321.38
2566,04,009,รบ1,2865
2566,04,010,รบ1,47
2566,04,015,รบ1,45691.16
2566,04,007,อส10,64572716.12
2566,04,007,อส10.1,4351154
2566,04,007,อส4,229407412.2
2566,04,007,อส4ก,13870649.6
2566,04,007,อส4ข,300477883
2566,04,007,อส9,82261207
2566,05,001,ทป3,4965182862
2566,05,002,ทป3,299889141.3
2566,05,005,ทป3,326111683.1
2566,05,006,ทป3,3949496.09
2566,05,007,ทป3,1007149.85
2566,05,070,ทป3,3271413.75
2566,05,001,ป2,15140300
2566,05,002,ป2,10143500
2566,05,005,ป2,8497400
2566,05,006,ป2,504900
2566,05,011,ป2,15407500
2566,05,001,ภงด1,18448814047
2566,05,001,ภงด2,5140620783
2566,05,001,ภงด3,1895098230
2566,05,002,ภงด50,46318348762
2566,05,002,ภงด51,2281029801
2566,05,002,ภงด52,1640269369
2566,05,002,ภงด53,14072422250
2566,05,002,ภงด54,8887822411
2566,05,002,ภงด55,89705677.61
2566,05,001,ภงด90,305019777.5
2566,05,001,ภงด91,153588207.6
2566,05,001,ภงด93,48323632.46
2566,05,001,ภงด94,29789080.81
2566,05,003,ภงป70,43480696412
2566,05,003,ภงป71,278273600
2566,05,006,ภธ40,2741574803
2566,05,005,ภพ30,39311766947
2566,05,005,ภพ30.2,108175.9
2566,05,005,ภพ309,640115409.8
2566,05,005,ภพ36,4558838957
2566,05,070,ภม60,71857241.66
2566,05,009,รบ1,300
2566,05,010,รบ1,21.5
2566,05,015,รบ1,11895.87
2566,05,007,อส10,72252031.76
2566,05,007,อส10.1,4824680
2566,05,007,อส4,258360886.3
2566,05,007,อส4ก,16374732.24
2566,05,007,อส4ข,266209465.4
2566,05,007,อส9,77606243
2566,06,001,ทป3,3196950595
2566,06,002,ทป3,600566169.4
2566,06,005,ทป3,313548355.8
2566,06,006,ทป3,10340037.62
2566,06,007,ทป3,6805218.32
2566,06,070,ทป3,3149884.16
2566,06,001,ป2,10418600
2566,06,002,ป2,12642600
2566,06,005,ป2,7672700
2566,06,006,ป2,551200
2566,06,011,ป2,14843000
2566,06,001,ภงด1,17005590103
2566,06,001,ภงด2,14292671158
2566,06,001,ภงด3,2032853870
2566,06,002,ภงด50,1.16737E+11
2566,06,002,ภงด51,3522172858
2566,06,002,ภงด52,2456915368
2566,06,002,ภงด53,16355737419
2566,06,002,ภงด54,20390801828
2566,06,002,ภงด55,52114934.2
2566,06,001,ภงด90,267387423.1
2566,06,001,ภงด91,96341210.27
2566,06,001,ภงด93,48219841.8
2566,06,001,ภงด94,18736988.72
2566,06,006,ภธ40,3377037872
2566,06,005,ภพ30,42295882114
2566,06,005,ภพ30.2,34091.18
2566,06,005,ภพ309,635387556.3
2566,06,005,ภพ36,6361887669
2566,06,070,ภม60,50305307.94
2566,06,009,รบ1,46181.5
2566,06,010,รบ1,41.5
2566,06,015,รบ1,170379.96
2566,06,007,อส10,79444656.97
2566,06,007,อส10.1,5157146
2566,06,007,อส4,265428018.6
2566,06,007,อส4ก,16667114.3
2566,06,007,อส4ข,314341386.8
2566,06,007,อส9,97240011
2566,07,001,ทป3,192167916.8
2566,07,002,ทป3,488047420.8
2566,07,005,ทป3,304969960
2566,07,006,ทป3,9105884.13
2566,07,007,ทป3,1768177.85
2566,07,070,ทป3,44098378.2
2566,07,001,ป2,8306500
2566,07,002,ป2,13152600
2566,07,005,ป2,7460800
2566,07,006,ป2,323900
2566,07,011,ป2,10056600
2566,07,001,ภงด1,19120080151
2566,07,001,ภงด2,4193316492
2566,07,001,ภงด3,2104464721
2566,07,002,ภงด50,2003883555
2566,07,002,ภงด51,752444025.6
2566,07,002,ภงด52,3513401.15
2566,07,002,ภงด53,16355933599
2566,07,002,ภงด54,10697039742
2566,07,002,ภงด55,41562904.97
2566,07,001,ภงด90,184690750.7
2566,07,001,ภงด91,70733613.65
2566,07,001,ภงด93,67178264.64
2566,07,001,ภงด94,114223571.3
2566,07,003,ภงป70,10369717.14
2566,07,003,ภงป73,1351.01
