year,Province,Amphone,district,Item,Value,Unit,Source
2560,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.โรงช้าง,จำนวนเกษตรกรในพืนที่,371,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.ถอนสมอ,จำนวนเกษตรกรในพืนที่,731,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.โพประจักษ์,จำนวนเกษตรกรในพืนที่,432,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.วิหารขาว,จำนวนเกษตรกรในพืนที่,337,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.พิกุลทอง,จำนวนเกษตรกรในพืนที่,349,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.อินทร์บุรี,จำนวนเกษตรกรในพืนที่,569,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ประศุก,จำนวนเกษตรกรในพืนที่,731,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทับยา,จำนวนเกษตรกรในพืนที่,566,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.งิ้วราย,จำนวนเกษตรกรในพืนที่,714,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ชีน้ำร้าย,จำนวนเกษตรกรในพืนที่,693,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ท่างาม,จำนวนเกษตรกรในพืนที่,693,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.น้ำตาล,จำนวนเกษตรกรในพืนที่,466,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทองเอน,จำนวนเกษตรกรในพืนที่,907,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ห้วยชัน,จำนวนเกษตรกรในพืนที่,528,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.โพธิ์ชัย,จำนวนเกษตรกรในพืนที่,474,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางพุทรา,จำนวนเกษตรกรในพืนที่,99,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางมัญ,จำนวนเกษตรกรในพืนที่,448,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.โพกรวม,จำนวนเกษตรกรในพืนที่,409,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ม่วงหมู่,จำนวนเกษตรกรในพืนที่,409,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.หัวไผ่,จำนวนเกษตรกรในพืนที่,786,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
