year,Province,Amphone,type,Item,Value,Unit,Source
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1303,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,76,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,2543,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1738,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,620,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1367,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,912,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,320,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,904,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,852,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
