year,Province,Amphone,Age range,Item,Value,Unit,Source
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,87,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,167,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,409,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,702,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,990,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,5,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,58,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,128,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,269,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,460,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,572,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,67,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,491,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,906,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1324,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1968,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1978,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,25,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,201,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,397,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,614,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,942,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1138,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,20,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,249,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,485,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,894,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1240,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1284,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,13,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,120,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,263,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,491,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,734,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,650,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,6,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,86,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,165,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,299,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,588,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,971,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
