year,Province,Amphone,type,Item,Value,Unit,Source
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,4,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,3044,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,50,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1532,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,18,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
