year,Province,Amphone,district,Item,  Value ,Unit,Source
2560,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บ้านแป้ง,จำนวนเกษตรกรผู้ปลูกข้าว,130,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.หัวป่า,จำนวนเกษตรกรผู้ปลูกข้าว,115,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.โรงช้าง,จำนวนเกษตรกรผู้ปลูกข้าว,94,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.ถอนสมอ,จำนวนเกษตรกรผู้ปลูกข้าว,176,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.โพประจักษ์,จำนวนเกษตรกรผู้ปลูกข้าว,336,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.วิหารขาว,จำนวนเกษตรกรผู้ปลูกข้าว,129,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.พิกุลทอง,จำนวนเกษตรกรผู้ปลูกข้าว,110,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.อินทร์บุรี,จำนวนเกษตรกรผู้ปลูกข้าว,188,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ประศุก,จำนวนเกษตรกรผู้ปลูกข้าว,573,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทับยา,จำนวนเกษตรกรผู้ปลูกข้าว,409,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.งิ้วราย,จำนวนเกษตรกรผู้ปลูกข้าว,525,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ชีน้ำร้าย,จำนวนเกษตรกรผู้ปลูกข้าว,474,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ท่างาม,จำนวนเกษตรกรผู้ปลูกข้าว,338,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.น้ำตาล,จำนวนเกษตรกรผู้ปลูกข้าว,438,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทองเอน,จำนวนเกษตรกรผู้ปลูกข้าว,739,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ห้วยชัน,จำนวนเกษตรกรผู้ปลูกข้าว,907,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.โพธิ์ชัย,จำนวนเกษตรกรผู้ปลูกข้าว,482,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางพุทรา,จำนวนเกษตรกรผู้ปลูกข้าว,0,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางมัญ,จำนวนเกษตรกรผู้ปลูกข้าว,318,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.โพกรวม,จำนวนเกษตรกรผู้ปลูกข้าว,326,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ม่วงหมู่,จำนวนเกษตรกรผู้ปลูกข้าว,84,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
