year,Province,Amphone,Age range,Item,Value,Unit,Source
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,48.8,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,29.4,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,จังหวัดสิงห์บุรี,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,18.0,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,จังหวัดสิงห์บุรี,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,48.0,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,จังหวัดสิงห์บุรี,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,34.0,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,18.78,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,46.91,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,34.31,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,18.08,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,50.86,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
