year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มหาสารคาม,380506,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มุกดาหาร,40437,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ร้อยเอ็ด,554400,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,เลย,190021,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,สกลนคร,298479,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองคาย,238030,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองบัวลำภู,165838,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,อุดรธานี,435158,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงราย,179395,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงใหม่,77173,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,น่าน,80828,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,พะเยา,76998,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,แพร่,25828,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,แม่ฮ่องสอน,14512,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,ลำปาง,38467,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,ลำพูน,15993,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,กำแพงเพชร,260738,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,ตาก,41776,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,นครสวรรค์,695644,ตัว,กรมปศุสัตว์
