ประเทศที่ส่งออก,ปริมาณปลาป่น (กก.),มูลค่าปลาป่น (บาท),ปริมาณ อาหารสุนัขและแมว (กก.),มูลค่าอาหารสุนัขและแมว (บาท),ปริมาณอาหารใช้เลี้ยงสัตว์อื่น ๆ (กก.),มูลค่าอาหารใช้เลี้ยงสัตว์อื่น ๆ (บาท),ปริมาณอาหารเสริมสัตว์เลี้ยง (กก.),มูลค่าอาหารเสริมสัตว์เลี้ยง (บาท),ปริมาณพรีมิกซ์ (กก.),มูลค่าพรีมิกซ์ (บาท),ปริมาณอาหารกระป๋องสุนัขและแมว (กก.),มูลค่าอาหารกระป๋องสุนัขและแมว (บาท),ปริมาณDog Chews (กก.),มูลค่าDog Chews (บาท),ปริมาณอาหารสัตว์น้ำ (กก.),มูลค่าอาหารสัตว์น้ำ (บาท),ปริมาณรวมทั้งสิ้น (กก.),มูลค่ารวมทั้งสิ้น (บาท)
คูเวต,,,8064.2,386598.3,3960,238972.8,,,,,80668.2,6460633.92,,,,,92692.4,7086205.02
ยูเครน,,,,,,,,,,,47216.92,6620256.14,,,,,47216.92,6620256.14
กัมพูชา,,,,,,,128000,6051820.8,,,123,154,,,,,128123,6051974.8
เลบานอน,,,54870.6,3795099.25,,,,,,,,,8542.9,1833433,,,63413.5,5628532.25
ชิลี,,,,,,,,,,,50303.44,5618748.02,,,,,50303.44,5618748.02
กาตาร์,,,73758,2634046.8,450,18562.5,,,,,30984,1210672.27,,,,,105192,3863281.57
มาดากัสการ์,,,,,821,1447483.04,,,,,,,,,1819.02,2083010,2640.02,3530493.04
นอร์เวย์,,,,,,,,,,,,,19087.6,3365168,,,19087.6,3365168
โปแลนด์,20000,935890,,,,,,,,,11429.52,1819599.54,,,,,31429.52,2755489.54
อิเควทอเรียลกินี,,,,,,,,,,,17544,2565370.14,,,,,17544,2565370.14
แทนซาเนีย,,,42208.2,1460535.45,104,38315.59,,,,,,,,,1335,705332.49,43647.2,2204183.53
คาซัคสถาน,,,27353.2,1479546.75,2720.4,125334,,,,,,,,,5467.76,424333.01,35541.36,2029213.76
อียิปต์,,,15452,817056.38,,,,,,,6412.92,504647.6,,,25012,515932.15,46876.92,1837636.13
นิวแคลิโดเนีย,,,,,30.6,81778.62,30700.5,1589489.5,,,,,,,30.6,81778.62,30761.7,1753046.74
บัลกาเรีย,,,,,,,,,,,,,11552.5,1609921.13,,,11552.5,1609921.13
เบลารุส,,,,,,,,,,,10560,1522037,,,41,8423.55,10601,1530460.55
จอร์แดน,,,,,,,,,,,12579.84,1123020.8,,,,,12579.84,1123020.8
เนปาล,,,,,,,16000,771033.6,,,,,,,,,16000,771033.6
โอมาน,,,,,,,,,,,12264,565484.99,,,25,14418.59,12289,579903.58
เปอร์โตริโก,,,,,,,,,,,6289.92,513801.12,,,,,6289.92,513801.12
โครเอเชีย,,,,,,,,,,,2976,455789.9,,,,,2976,455789.9
ลิทัวเนีย,,,,,,,,,,,2552.5,387588,,,,,2552.5,387588
เรอูนียง,,,,,,,,,,,5357.04,279637.48,,,,,5357.04,279637.48
โพลินีเซีย,,,,,,,,,,,,,,,416,264600.51,416,264600.51
เอกวาดอร์,,,,,,,16,575,,,,,,,,,16,575
อิรัก,,,5.5,417,,,,,,,,,,,,,5.5,417
โคลอมเบีย,0.3,35.92,,,,,,,,,,,,,,,0.3,35.92
ฮังการี,260000,11917950,,,,,,,,,,,,,,,260000,11917950
