ปี,รายการ,จำนวน,หน่วย
2566,จำนวนองค์กรเกษตรกรภายใต้การดูแลของกรมส่งเสริมการเกษตร,359,องค์กร
2567,จำนวนองค์กรเกษตรกรภายใต้การดูแลของกรมส่งเสริมการเกษตร,360,องค์กร
2568,จำนวนองค์กรเกษตรกรภายใต้การดูแลของกรมส่งเสริมการเกษตร,360,องค์กร
