no,date,province,odpc,type_source,type_cause,place,detail_source,count_injured,type_injurey,count_dead,type_dead,data_source,explode
398,06/01/2023,ชลบุรี,6,ไฟไหม้,ไม่ทราบ,โรงงาน,"วันที่ 6 มกราคม 2566 ทีม SAT สคร.6 ชลบุรี ได้รับแจ้งจาก กลุ่มโรคไม่ติดต่อ (งานโรคจากการประกอบอาชีพและสิ่งแวดล้อม) พบเหตุการณ์ไฟไหม้ รายละเอียดดังนี้ วันที่ 6 มกราคม 2566 เวลา 08.00 น. ได้รับแจ้งเหตุจาก สสจ.ชลบุรี ว่า วันที่ 6 มกราคม 2566 เวลา 03.30 น.เกิดเหตุเพลิงไหม้โรงงานผลิตชิ้นส่วนรถยนต์ รถจักรยานยนต์และขึ้นรูปพลาสติก ในพื้นที่ ต.โป่ง อ.บางละมุง จ.ชลบุรี นายอำเภอบางละมุงประสานขอรถดับเพลิงในพื้นที่ชลบุรีและกรุงเทพมหานครกว่า 20 คัน เข้าสกัดไฟตัวโรงงานมีทั้งหมด 5 โกดัง จุดเกิดเหตุอยู่ที่โกดังที่ 2 ซึ่งเป็นโกดังสำหรับพ่นสีชิ้นส่วนอะไหล่รถ ไฟลุกไหม้อย่างรุนแรง จนทำให้ตัวโกดังถล่มและยุบลงมาทั้งหลัง มีกลุ่มควันสีดำคละคลุ้งไปทั่วบริเวณ จากนั้นไฟก็ลุกลามไปยังโซนทิ้งขยะสารเคมีที่อยู่ด้านหลัง และอยู่ติดกับสถานีบริการน้ำมันของโรงงาน เจ้าหน้าที่ต้องเร่งสกัดไฟเพื่อไม่ให้ลามไปยังบริเวณดังกล่าว เพราะมีบ่อพักน้ำมันเชื้อเพลิงกว่า 15,000 ลิตร ขณะที่คนงานหลายร้อยชีวิตต่างพาวิ่งหนีเอาตัวรอดออกมาได้อย่างอลหม่าน นายอำเภอบางละมุง ต้องสั่งให้กำนัน ผู้ใหญ่บ้าน เร่งอพยพคนงานในหอพักพนักงาน ที่อยู่ในรัศมี 50 เมตร ให้ออกห่างจากตัวอาคารแล้ว และคาดการณ์ว่าความเสียหายครั้งนี้ประมาณ 100 ล้านบาท ปัจจุบัน ได้รับข้อมูลจาก สสจ. ชลบุรี ว่า เวลา 08.20 น. ควบคุมเพลิงได้ในวงจำกัด แต่ยังมีการลุกไหม้อยู่ มีการเฝ้าระวังต่อเนื่อง ไม่มีรายงานมีผู้บาดเจ็บ และไม่มีรายงานผู้เสียชีวิต การประเมินความเสี่ยงเบื้องต้น เกิดเหตุเพลิงไม้อาจมีก๊าซคาร์บอนไดออกไซด์ และก๊าซคาร์บอนมอนอกไซด์ ควันดำหรือฝุ่น PM10 และ PM2.5 ถ้าสูดดมเข้าไป จะทำให้เกิดการระคาย เคืองระบบทางเดินหายใจ ปวดศีรษะ มึนงง อ่อนเพลีย คลื่นไส้ และมึนเมา เหตการณ์ไม่เข้าเกณฑ์ DCIR (มีการตั้งศูนย์อพยพ/บาดเจ็บตั้งแต่ 10 ราย บาดเจ็บรุนแรง 5 เสียชีวิต 2 ราย)",0,,0,,Event-based DDC,ไม่ระเบิด
399,17/01/2023,สมุทรสงคราม,5,ไฟไหม้,ดีเซล,ท่าเรือ,"วันที่ 17 มกราคม 2566 กลุ่มพัฒนาระบบข้อมูลและตอบโต้ภาวะฉุกเฉิน กองโรคจากการประกอบอาชีพและสิ่งแวดล้อม ได้รับแจ้งจาก สคร.5 จังหวัดราชบุรี ว่าเมื่อเวลาประมาณ 09.20 น. เกิดเหตุไฟไหม้เรือบรรทุกน้ำมันกลางแม่น้ำแม่กลอง บริเวณใกล้เคียงวัดปากสมุทร ตำบลแหลมใหญ่ อำเภอเมือง จังหวัดสมุทรสงคราม จากการตรวจสอบข่าว พบว่า เรือที่เกิดเหตุชื่อ SMOOTH SEA 22 น้ำหนักเรือ ๒,๙๙๖ ตันกรอสส์ ใช้บรรทุกผลิตภัณฑ์น้ำมันที่มีจุดวาบไฟต่ำกว่า 60 องศาเซลเซียส ขณะเกิดเหตุเรือลำดังกล่าวจอดซ่อมบำรุงอยู่ภายในอู่ต่อเรือ ภายในเรือ มีน้ำมันเตาและน้ำมันดีเซลคงค้างอยู่ คนงานอยู่บนเรือทั้งหมด 28 คน ทั้งนี้ ประชาชนที่อยู่บริเวณใกล้เคียง ในรัศมี 7 กิโลเมตร ได้รับแรงสั่นสะเทือนจากแรงระเบิด เป็นเหตุให้บ้านที่อยู่ใกล้เคียงได้รับความเสียหาย และเสียงระเบิดดังไปไกลกว่า 10 กิโลเมตร ณ เวลา 15.00 น. หน่วยงานที่เกี่ยวข้องอยู่ระหว่างการเข้าระงับเหตุ ยังคงมีควันไฟลุกไหม้และปะทุบนเรืออย่างต่อเนื่อง ยังไม่สามารถควบคุมเพลิงบนเรือได้ เหตุการณ์ในครั้งนี้ มีผู้เสียชีวิต 3 ราย ผู้สูญหายอีก 6 ราย และมีผู้ได้รับบาดเจ็บ 4 ราย (ช่างเชื่อมบนเรือ) นำส่งเข้ารักษาที่โรงพยาบาลสมเด็จพระพุทธเลิศหล้า ยังไม่มีรายงานการได้รับผลกระทบทางสุขภาพของประชาชนโดยรอบและยังไม่พบการรั่วไหลของน้ำมันลงแม่น้ำแม่กลองจากเหตุการณ์ดังกล่าว 
",4,ช่างเชื่อม,8,,Event-based DDC,ระเบิด
400,22/01/2023,ปราจีนบุรี,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,"ไฟไหม้บ่อขยะ บริษัทเวสท์ เอ็นเนอร์ยี่ จำกัด( บ่อฝังกลบขยะ /กากของเสียไม่อันตราย)
ต.ลาดตะเคียน อ.กบินทร์บุรี จ.ปราจีนบุรี

พื้นที่เสี่ยงรับผลกระทบคือ ต.กรอกสมบูรณ์
ตรวจสอบเบื้องต้น ยังไม่มีผลกระทบ อปท.2 แห่งร่วมกันดับเพลิง และกลบทับพื้นที่เพลิงไหม้ด้วยดิน พร้อมอัดน้ำลงใต้บ่อขยะ เพลิงไหม้ลดลง และอยู่ในการควบคุมแล้ว

นายปิ่นสักก์ สุรัสวดี อธิบดีกรมควบคุมมลพิษ สั่งการ สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 7 ติดตามเฝ้าระวังสถานการณ์ ตรวจสอบและให้คำปรึกษาทางด้านวิชาการ",0,,0,,FB: กรมควบคุมมลพิษ,ไม่ระเบิด
401,24/01/2023,ปราจีนบุรี,6,อุบัติเหตุขนส่ง,เอทานอล,การจราจร/ขนส่ง,"เมื่อเวลาประมาณ 20.30 น. (24 ม.ค.66) เกิดอุบัติเหตุบนถนนสาย 304 ขาเข้า กรุงเทพฯ จากจังหวัดนครราชสีมา กม.​ 209+500 ช่วงเขาศาลโทน ม.8 บ้านวังใหม่ ต.บุพราหมณ์ อ.นาดี​ จ.ปราจีนบุรี รถบรรทุกเอทานอล 32,000 ลิตร เสียหลักพลิกคว่ำเกิดการลุกไหม้​ มีผู้บาดเจ็บ 1 ราย กู้ภัยนำส่ง รพ.นาดี 

22.40 น. ดต.วิวัฒน์ ปลูกสกุล เจ้าหน้าที่ตำรวจทางหลวงปราจีนบุรี รายงานจุดที่เกิดเหตุ ถนนสาย 304 ขาเข้า กรุงเทพฯ จากจังหวัดนครราชสีมา กม.​ 209+500 เลยเขาศาลโทน ประมาณ 500 เมตร เป็นรถบรรทุกเอทานอล 32,000 ลิตร เสียหลักพลิกคว่ำเกิดการลุกไหม้ ตั้งแต่เวลา 20.30 น. รถดับเพลิง 3 คัน ยังไม่สามารถควบคุมได้ ล่าสุดรถโฟม 1 คัน มาถึงจุดเกิดเหตุแล้วอยู่ระหว่างควบคุมเพลิง ที่เกิดเหตุมีคนเจ็บ 1 ราย นำส่ง รพ.แล้ว เบื้องต้นรถคันดังกล่าวน่าจะมาด้วยความเร็วแล้วเกิดเบรกไม่อยู่ ก่อนเสียหลักพลิกคว่ำจนเกิดเพลิงลุกไหม้ โดยขณะนี้ปิดการจราจรฝั่งที่จะมุ่งหน้าเข้ากรุงเทพฯ ส่วนฝั่งมุ่งหน้าไปจังหวัดนครราชสีมา ยังผ่านได้ ฝากผู้ใช้ทางหากไม่จำเป็นโปรดหลีกเลี่ยงก่อน",1,,0,,website: สวพ.FM91,ไม่ระเบิด
402,25/01/2023,ปทุมธานี,4,ไฟไหม้,แก๊ส,โรงงาน,รับแจ้งข่าวจาก PM โรคจากการประกอบอาชีพและสิ่งแวดล้อม พบเหตุการณ์ก๊าซระเบิด ในบริษัทแห่งหนึ่ง พื้นที่หมู่ที่ 13 ตำบลบึงคำพร้อย อำเภอลูกกา จังหวัดปทุมธานี จากการตรวจสอบข่าวพบว่าเป็นเหตุเพลิงไหม้สถานประกอบกิจการบรรจุแก๊ส จำหน่ายก๊าซในห้องแลบ และก๊าซพิเศษ รวมถึงเป็นตัวแทนจำหน่ายอุปกรณ์ที่เกี่ยวข้องกับก๊าซครบวงจร (เจ้าของโรงงานให้ข้อมูลว่า มีการแบ่งบรรจุแก๊สจำนวน 4 ชนิด ได้แก่ CO2 O2 Ar และ N2) โดยมีกำลังเครื่องจักร 30 แรงม้า คนงานจำนวน 15 คน โดยเกิดเหตุในช่วงเวลาประมาณ 13.00 น. ทั้งนี้ ขณะลงพื้นที่ตรวจสอบพบว่าเจ้าหน้าที่ฝ่ายป้องกันและบรรเทาสาธารณภัยจังหวัดปทุมธานี ได้เข้าควบคุมเพลิงจนสงบ โดยอาคารทั้งหมดได้ถูกไฟไหม้ ไม่สามารถประกอบกิจการต่อไป พบมีไนโตรเจน ค้าง 20 ถัง เทศบาลเมืองลาดสวาย ทีมกู้ชีพเร่งดำเนินฉีดน้ำป้องกันการระเบิด ขณะเกิดเหตุมีพนักงานอยู่ในเหตุการณ์ 8 ราย มีผู้บาดเจ็บเล็กน้อย ไฟลวกที่นิ้วมือ 1 ราย ไม่มีผู้บาดเจ็บรุนแรง และเสียชีวิต,1,,0,,Event-based DDC,ระเบิด
403,26/01/2023,ระยอง,6,รั่วไหล,Ammonia,โรงงาน,"วันที่ 26 ม.ค.66 เวลา 13.30 น. เกิดเหตุสารแอมโมเนียที่ค้างท่อรั่วไหลส่งกลิ่นเหม็น จากโรงงานผลิตน้ำแข็งแห่งหนึ่ง ในพื้นที่หมู่ 2 ต.บางบุตร อ.บ้านค่าย จ.ระยอง ซึ่งหยุดกิจการไปตั้งแต่ปี 2564 เนื่องจากสถานการณ์โควิด หน่วยงานที่เกี่ยวข้องได้แก่ อบต.บางบุตร, อบต.หนองบัว, อำเภอบ้านค่าย เข้าระงับเหตุจนเวลา 16.45 น. สามารถระงับเหตุปิดวาวล์ได้ แต่ยังมีกลิ่นแอมโมเนียออกสู่ชุมชนทำให้ประชาชนข้างเคียงในระยะประมาณ30เมตร มีอาการเหม็นกลิ่น แสบจมูก ระคายเคืองตา แต่ไม่มีผู้บาดเจ็บเข้ารับการรักษาในโรงพยาบาล",0,,0,,Event-based Province,ไม่ระเบิด
404,30/01/2023,สมุทรปราการ,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,"ไฟไหม้บ่อขยะแพรกษา จนท.ระดมกำลังฉีดน้ำดับ ล่าสุดคุมเพลิงได้แล้ว
เกิดเหตุเพลิงไหม้ที่บ่อขยะของบริษัทพลังงานแห่งหนึ่งใน ต.แพรกษาใหม่ จ.สมุทรปราการ เจ้าหน้าที่ระดมรถน้ำนับสิบคันฉีดน้ำหลายชั่วโมง จึงควบคุมเพลิงไว้ได้ 

เมื่อเวลา 21.00 น. วันที่ 30 ม.ค. 2566 ร.ต.ท.เพชรภูมิ เจี๊ยบนา รอง สว.(สอบสวน) สภ.บางปู รับแจ้งเหตุเพลิงไหม้ บ่อขยะ ของบริษัท อีสเทิร์น เอเนอร์จี พลัส จำกัด ตั้งอยู่ซอยขจรวิทย์ ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ หลังรับแจ้งจึงประสานขอรถดับเพลิงจากพื้นที่ใกล้เคียงกว่า 10 คัน สนับสนุนฉีดน้ำสกัด 

ที่เกิดเหตุอยู่บริเวณด้านข้างโรงงาน เป็นจุดทิ้งขยะแห้ง ซึ่งถูกคัดทิ้งออกมาจากในส่วนที่เตรียมเข้าเตาเผาผลิตกระแสไฟฟ้า โดยเพลิงโหมลุกไหม้อย่างรุนแรง สร้างหมอกควันและกลิ่นกระจายไปในอากาศ และลอยเข้าสู่ชุมชนใกล้เคียง เจ้าหน้าที่ต้องเร่งระดมฉีดน้ำสกัด พร้อมกับใช้รถแบ็กโฮ 3 คัน เข้าไปตะกุยกองขยะเพื่อฉีดน้ำอัดไปใต้กองเพลิงไม่ให้เพลิงลุกลามไปมากกว่านี้ จนเวลาผ่านไปกว่า 2 ชม. จึงควบคุมเพลิงเอาไว้ได้ เบื้องต้นไม่มีรายงานผู้บาดเจ็บแต่อย่างใด
ต่อมา นายสมศักดิ์ แก้วเสนา นายอำเภอเมืองสมุทรปราการ เดินทางมาที่เกิดเหตุ พร้อมกับสรุปสถานการณ์ว่า ขณะนี้เจ้าหน้าที่สามารถควบคุมเพลิงได้หมดแล้ว เหลือเพียงกลุ่มควันเพียงเล็กน้อย ส่วนขยะเบื้องต้นไม่ใช่กองขยะใหญ่ แต่เป็นขยะที่ถูกคัดทิ้งออกมาแล้ว และไม่ใช่ขยะที่เป็นสารพิษ อย่างไรก็ตาม หลังจากเพลิงสงบ จะได้ประสานเจ้าหน้าที่ที่เกี่ยวข้องเข้ามาตรวจสอบอย่างละเอียดอีกครั้ง เพื่อหาค่ามลพิษทางอากาศว่าเกินค่ามาตรฐาน และอันตรายกับประชาชนหรือไม่ ส่วนสาเหตุอยู่ระหว่างการตรวจสอบว่ามาจากเหตุใด 

ด้านกระแสข่าวที่ออกมาว่า ก่อนเกิดเหตุมีคนงานออกมาประท้วงไม่พอใจบริษัท ก่อนที่จะเกิดเหตุเพลิงไหม้นั้น นายสมศักดิ์ กล่าวว่า ตนยังไม่ทราบเรื่อง ขอไปตรวจสอบก่อน",0,,0,,website:ไทยรัฐออนไลน์,ไม่ระเบิด
405,08/02/2023,เพชรบุรี,5,ไฟไหม้,เมทิลเมทาคริเลต (MMA),โรงงาน,"เพชรบุรี - เกิดเหตุไฟไหม้อาคารเก็บสารเคมีชนิด MMA ซึ่งเป็นของเหลวไวไฟสูง สำหรับใช้ในอุตสาหกรรมพลาสติก ในโรงงานไททัน อ.เขาย้อย จ.เพชรบุรี เจ้าหน้าที่ใช้เวลาประมาณ 30 นาที สามารถควบคุมเพลิงได้ ส่วนสาเหตุและความเสียหายอยู่ระหว่างการตรวจสอบ 

ค่ำวันนี้ (8 ก.พ.) ศูนย์รับแจ้งเหตุฉุกเฉิน 191 เพชรบุรี ได้รับแจ้งเหตุเพลิงไหม้ในโรงงานไททัน หมู่ 1 ตำบลหนองชุมพล อำเภอเขาย้อย จังหวัดเพชรบุรี ภายหลังจากที่ได้รับแจ้งเหตุ พล.ต.ต.ปิติ นฤขัตรพิชัย ผู้บังคับการตำรวจภูธรจังหวัดเพชรบุรี พร้อมด้วย พ.ต.อ.ธิป เข่งคุ้ม ผกก.สภ.เขาย้อย ได้รีบไปตรวจสอบ พร้อมด้วย นายนฤนาท เมืองแสน นายอำเภอเขาย้อย และนายบุญเลิศ ยอดแก้ว นายก อบต.หนองชุมพลเหนือ พร้อมประสานรถดับเพลิงให้รีบไประงับเพลิง 

ในที่เกิดเหตุเพลิงไหม้เป็นอาคารหนึ่งในโรงงาน บ.ไททัน โพลีเทค จำกัด ม.1 อ.เขาย้อย จ.เพชรบุรี ซึ่งเป็นพื้นที่เก็บสารเคมีชนิด MMA ซึ่งเป็นของเหลวไวไฟสูง ใช้ในกระบวนการผลิตสาร PMMA สำหรับใช้ในอุตสาหกรรม พลาสติก เรซิน กาว สี และอื่นๆ ต้องใช้รถดับเพลิงจำนวนหลายคันเพื่อระดมฉีดน้ำควบคุมเพลิง ใช้เวลาประมาณ 30 นาที จึงควบคุมเพลิงไว้ได้ และต้องใช้รถดับเพลิงชนิดดับเพลิงโฟมเคมีเพื่อทำการดับเพลิงให้สงบและไม่เกิดการปะทุซ้ำขึ้นมาได้อีก 

ทั้งนี้ นายเกษม เกษมสุข ผู้จัดการฝ่ายผลิต ได้เปิดเผยกับผู้บังคับการตำรวจภูธรจังหวัดเพชรบุรี ว่า เพลิงได้ลุกไหม้ในขณะที่คนงานกำลังเปลี่ยนกะ และมีคนงานคนหนึ่งที่สูดดมควันแต่ไม่ได้รับอันตรายมาก และได้ส่งไปรักษาที่โรงพยาบาลเขาย้อยแล้ว นอกจากนั้นไม่มีผู้ได้รับบาดเจ็บอื่นๆ สำหรับสาเหตุและค่าเสียหายต้องรอตรวจสอบอย่างละเอียดต่อไป",0,,0,,website:ผู้จัดการออนไลน์,ไม่ระเบิด
406,10/02/2023,พระนครศรีอยุธยา,4,ระเบิด,ดินประสิว,โรงงาน,ได้รับแจ้งจากเจ้าหน้าที่ สคร.4 พบเหตุการณ์โรงงานผลิตชนวนระเบิด จังหวัดพระนครศรีอยุธยา เวลาประมาณ 12.00 น. วันที่ 10 ก.พ. 66 ประสานสำนักงานสาธารณสุขจังหวัดพระนครศรีอยุธยาตรวจสอบข่าวพบว่าเป็นเหตุสารเคมี (กรดดินปะสิว-เข้มข้น) ปะทุลุกไหม้ ในบริเวณกองโรงงานวัตถุระเบิด ต.หันตรา อ.พระนครศรีอยุธยา เพลิงลุกไหม้อยู่ใกล้กับอาคารเก่า ซึ่งเป็นอาคารไม้สองชั้นเก็บชนวนระเบิดและสารเคมีประกอบการทำชนวน ที่เตรียมทำลาย ซึ่งพบว่าจุดที่เกิดเหตุลุกไหม้อยู่บริเวณหลุม ใกล้กับอาคารดังกล่าว ใช้เวลาไม่ถึง 30 นาที ควบคุมเพลิงได้ ไม่มีการลุกลามและไม่มีผู้บาดเจ็บ นายนิวัฒน์ รุ่งสาคร ผู้ว่าราชการจังหวัดพระนครศรีอยุธยา ได้ลงพื้นที่ทันทีเมื่อได้รับการรายงานจาก ปภ. ว่าเกิดเหตุระเบิดยังไม่ทราบสาเหตุภายในกองโรงงานวัตถุระเบิด กรมสรรพาวุธทหารบก ต.หันตรา อ.พระนครศรีอยุธยา พบว่าสถานการณ์ปัจจุบันเพลิงสงบ สามารถควบคุมไว้ได้แล้ว ไม่มีผู้ได้รับบาดเจ็บ และได้สั่งการให้กำนันผู้ใหญ่บ้านในพื้นที่เกิดเหตุ ประชาสัมพันธ์ทำความเข้าใจกับประชาชนในพื้นที่และที่อาศัยอยู่ในระยะ 500 เมตร เพื่อไม่ให้เกิดความตื่นตระหนกตกใจ ว่าเป็นเพียงสารเคมีที่ระเบิด ไม่ใช่วัตถุระเบิดแต่อย่างใด และได้ประสานโรงพยาบาลในพื้นที่ให้เตรียมความพร้อมหากมีสถานการณ์เปลี่ยนแปลง,0,,0,,Event-based DDC,ไม่ระเบิด
407,13/02/2023,สระบุรี,4,ลักลอบทิ้ง,สารเคมี,ชุมชน,"คนขับ-เจ้าของรถบรรทุก สารภาพ รับจ้างนำสารเคมีจากอำเภอภาชี ไปทิ้งนิคมอุตสาหกรรมแก่งคอย 

นายพิทยา ปราโมทย์วรพันธุ์ รองอธิบดีกรมควบคุมมลพิษ (คพ.) และผู้อำนวยการศูนย์ปฏิบัติการพิทักษ์สิ่งแวดล้อม (ศปก.พล.) เปิดเผยว่า จากกรณีประชาชนในพื้นที่ตำบลสองคอน อำเภอแก่งคอย จังหวัดสระบุรี ร้องเรียนว่ามีรถบรรทุกลักลอบนำสารเคมีมาทิ้งในพื้นที่นิคมอุตสาหกรรมแก่งคอย ในช่วงวันที่ 8 – 9 กุมภาพันธ์ 2566 โดยหน่วยงานที่เกี่ยวข้องได้ตรวจสอบจนสามารถตรวจยึดรถบรรทุกสารเคมี ยี่ห้ออีซูซุ หมายเลขทะเบียน 84-0744 พระนครศรีอยุธยา พร้อมควบคุมตัวผู้ขับขี่และผู้โดยสารส่งสถานีตำรวจภูธรอำเภอแก่งคอย เมื่อวันที่ 10 กุมภาพันธ์ 2566 ขณะขับขี่เข้ามาในพื้นที่เกิดเหตุ และเมื่อตรวจสอบกล้องวงจรปิดย้อนหลังพบรถคันดังกล่าววิ่งเข้า-ออกพื้นที่ลักลอบทิ้ง 

นายพิทยา กล่าวว่า ศปก.พล.ได้ลงพื้นที่อีกครั้ง เมื่อวันที่ 13 กุมภาพันธ์ 2566 พบกากของเสียจากรถบรรทุกและบริเวณพื้นที่ลักลอบทิ้งในพื้นที่นิคมอุตสาหกรรมแก่งคอย มีลักษณะและคุณสมบัติที่สอดคล้องกัน เป็นของเหลวสีเขียวใส ผลวิเคราะห์ตัวอย่างกากของเสียจากรถบรรทุกและบริเวณพื้นที่ลักลอบทิ้งมีค่า pH เท่ากับ 0.1 และ 1.72 ตามลำดับ เป็นกรดรุนแรง เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลที่ไม่ใช้แล้ว พ.ศ. 2584 และยังเข้าข่ายเป็นของเสียเคมีวัตถุ (Chemical Waste) ประเภทที่ 3 ตามประกาศกระทรวงอุตสาหกรรม เรื่อง บัญชีรายชื่อวัตถุอันตราย พ.ศ. 2556 

จากเหตุการณ์ดังกล่าว พบความเชื่อมโยงของรถบรรทุกกับบริษัทรับกำจัดของเสียแห่งหนึ่งในจังหวัดพระนครศรีอยุธยา เนื่องจากเมื่อวันที่ 12 กุมภาพันธ์ 2566 มีรถกระบะคันหนึ่งเข้ามาจอดเทียบรถบรรทุกที่ถูกตรวจยึดเป็นของกลาง ณ องค์การบริหารส่วนตำบลสองคอน พฤติการณ์มีลักษณะกำลังขนย้ายกากของเสียออกจากรถบรรทุกที่ถูกตรวจยึดไว้ ผลตรวจสอบทะเบียนรถยนต์กระบะ พบชื่อผู้ครอบครองคือ บริษัท เอกอุทัย จำกัด และยังมีความเชื่อมโยงกับเหตุการณ์ลักลอบทิ้งกากของเสียภายในโกดัง ตำบลภาชี อำเภอภาชี จังหวัดพระนครศรีอยุธยา เมื่อวันที่ 27 กุมภาพันธ์ 2566 โดยตรวจพบของเสียอันตรายชนิดเหลวมีสีเขียวใส มีค่า pH เท่ากับ 1 ถูกทิ้งในบ่อน้ำและลำรางด้านหน้าโกดังจำนวนมาก ซึ่งมีลักษณะคล้ายคลึงกับที่ตรวจพบจากรถบรรทุกที่ถูกตรวจยึดและบริเวณพื้นที่ลักลอบทิ้งกากของเสียในพื้นที่นิคมอุตสาหกรรมแก่งคอย โดยคนขับรถและเจ้าของรถบรรทุกสารภาพว่านำสารเคมีมาจากโกดังที่อำเภอภาชี จังหวัดพระนครศรีอยุธยา และได้รับการว่าจ้างจากชายคนหนึ่งที่แสดงตัวว่าเป็นผู้จัดการบริษัท เอกอุทัย จำกัด อีกด้วย 

ขณะนี้ สำนักงานนิคมอุตสาหกรรมแก่งคอยได้แจ้งความดำเนินคดีและเรียกร้องค่าเสียหายกับผู้กระทำความผิดแล้ว โดยในส่วนสำนักงานอุตสาหกรรมจังหวัดสระบุรี อยู่ระหว่างรอผลการตรวจพิสูจน์ลักษณะและสมบัติกากของเสียเพื่อร้องทุกข์กล่าวโทษกับผู้กระทำความผิดต่อไป ทั้งนี้ พบเห็นการลักลอบทิ้งสารเคมี โทรแจ้งได้ที่ สายด่วน 1650 นายพิทยา กล่าว 

#ข่าวกรมควบคุมมลพิษ #กรมควบคุมมลพิษ #นิคมแก่งคอย #ลักลอบทิ้ง #ทิ้งสารเคมี #ของเสียอันตราย #สารอันตราย #นิคมอุตสาหกรรม",0,,0,,FB: กรมควบคุมมลพิษ,ไม่ระเบิด
