no,date,province,odpc,type_source,type_cause,place,detail_source,count_injured,type_injurey,count_dead,type_dead,data_source,explode
96,03/01/2017,ปทุมธานี,4,ลักลอบทิ้ง,กากอุตสาหกรรม,ชุมชน,,0,,0,,,ไม่ระเบิด
97,15/01/2017,ตาก,2,ระเบิด,LPG,บ้านพัก/ที่อยู่อาศัย,,0,,0,,,ระเบิด
98,17/01/2017,ชลบุรี,6,ลักลอบทิ้ง,น้ำมันไม่ทราบชนิด,แหล่งน้ำ,,0,,0,,,ไม่ระเบิด
99,19/01/2017,กรุงเทพมหานคร,13,อุบัติเหตุขนส่ง,Ethanol,การจราจร/ขนส่ง,,0,,0,,,ไม่ระเบิด
100,20/01/2017,เลย,8,อุบัติเหตุขนส่ง,น้ำมันดีเซล,การจราจร/ขนส่ง,,1,,0,,,ไม่ระเบิด
101,20/01/2017,ภูเก็ต,11,ระเบิด,ถังดับเพลิง,ท่าเรือ,,2,,0,,,ระเบิด
102,24/01/2017,ชลบุรี,6,ลักลอบทิ้ง,กากอุตสาหกรรม,ชุมชน,,0,,0,,,ไม่ระเบิด
103,26/01/2017,กรุงเทพมหานคร,13,รั่วไหล,แก๊สพิษ,ท่อบําบัดน้ำเสีย,,0,,4,,,ไม่ระเบิด
104,01/02/2017,ปทุมธานี,4,ระเบิด,Oxygen,อาคารพาณิชย์/สํานักงาน/ร้านจําหน่าย,,6,,0,,,ระเบิด
105,03/02/2017,ระยอง,6,รั่วไหล,LPG,ปั๊มน้ำมัน/แก๊ส,,0,,0,,,ไม่ระเบิด
106,13/02/2017,ชลบุรี,6,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,,0,,0,,,ไม่ระเบิด
107,15/02/2017,นครนายก,4,ไฟไหม้,สารเคมีที่ใช้ผลิตยากันยุง,โรงงาน,,1,,0,,,ไม่ระเบิด
108,18/02/2017,ปราจีนบุรี,6,ไฟไหม้,ขยะ,บ่อขยะ,,0,,0,,,ไม่ระเบิด
109,26/02/2017,ปราจีนบุรี,6,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โกดัง,,0,,0,,,ไม่ระเบิด
110,02/03/2017,กรุงเทพมหานคร,13,รั่วไหล,Ammonia,โรงงาน,,0,,0,,,ไม่ระเบิด
111,10/03/2017,ระยอง,6,อุบัติเหตุขนส่ง,LPG,การจราจร/ขนส่ง,,0,,0,,,ไม่ระเบิด
112,13/03/2017,นครราชสีมา,9,ไฟไหม้,นํ้ามันไม่ทราบชนิด,โรงงาน,,1,,0,,,ไม่ระเบิด
113,20/03/2017,เชียงราย,1,อุบัติเหตุขนส่ง,น้ำมันแก๊สโซฮอล91 และ95,การจราจร/ขนส่ง,,0,,0,,,ไม่ระเบิด
114,22/03/2017,นครราชสีมา,9,ไฟไหม้,บ่อขยะ,บ่อขยะ,,0,,0,,,ไม่ระเบิด
115,26/03/2017,ตาก,2,ไฟไหม้,บ่อขยะ,บ่อขยะ,,0,,0,,,ไม่ระเบิด
116,03/04/2017,ราชบุรี,5,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,อาคารพาณิชย์/สํานักงาน/ร้านจําหน่าย,,0,,0,,,ไม่ระเบิด
117,09/04/2017,ร้อยเอ็ด,7,ระเบิด,LPG,การจราจร/ขนส่ง,,0,,0,,,ระเบิด
118,20/04/2017,ลำปาง,1,อุบัติเหตุขนส่ง,LPG,การจราจร/ขนส่ง,,1,,0,,,ไม่ระเบิด
