no,date,province,odpc,type_source,type_cause,place,detail_source,count_injured,type_injurey,count_dead,type_dead,data_source,explode
255,08/04/2020,ลำปาง,1,ไฟไหม้,บ่อขยะ,บ่อขยะ,เทศบาลตำบลเกาะคา เร่งระดมกำลังรถบรรทุกน้ำดับเพลิงจากท้องถิ่นใกล้เคียง และเจ้าหน้าที่ เข้าไปดับไฟที่ลุกไหม้บ่อขยะของ ศูนย์จัดการขยะท้องถิ่น,0,,0,,เชียงใหม่นิวส์,ไม่ระเบิด
256,11/04/2020,ปราจีนบุรี,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,ระทึก! ไฟไหม้บ่อขยะเอกชน ควันไฟฟุ้งทั่วหมู่บ้าน,0,,0,,เนชั่นทีวี,ไม่ระเบิด
257,13/04/2020,กาญจนบุรี,5,ไฟไหม้,บ่อขยะ,บ่อขยะ,ชาวสังขละบุรีระทม! เจอกลุ่มควันไฟป่ายังไม่พอ เจอพิษไฟไหม้บ่อขยะซ้ำเติมอีก,0,,0,,ข่าวแนวหน้าออนไลน์,ไม่ระเบิด
258,23/04/2020,ปทุมธานี,4,ไฟไหม้,บ่อขยะ,บ่อขยะ,ไฟไหม้บ่อขยะ 5 ไร่ในคลองสาม เจ้าหน้าที่เร่งดับป้องลามไปบ้านเรือนประชาชน,0,,0,,ข่าวสยามรัฐออนไลน์,ไม่ระเบิด
259,24/04/2020,สุราษฎร์ธานี,11,ไฟไหม้,บ่อขยะ,บ่อขยะ,ระทึก.!ร้อนจัดไฟไหม้บ่อขยะ 3 ไร่ ผู้ว่าฯสั่งเร่งดับ,0,,0,,เวบ Phukhao Post,ไม่ระเบิด
260,30/04/2020,ขอนแก่น,7,ไฟไหม้,บ่อขยะ,บ่อขยะ,ขอนแก่นร้อนมาก​ ไฟไหม้บ่อขยะ โชคดีสามารถสกัดเพลิงเอาไว้ได้ทัน เจ้าหน้าที่เร่งตรวจหาสาเหตุ,0,,0,,สยามรัฐออนไลน์,ไม่ระเบิด
261,13/05/2020,เชียงใหม่,1,อุบัติเหตุขนส่ง,น้ำมันเชื้อเพลิง,การจราจร/ขนส่ง,รถบรรทุกน้ำมันพุ่ง หลักหลบรถปิคอัพจนพลิกคว่ำ ใกล้กับโรงเรียนแม่นะ เชียงดาว บาดเจ็บ 1 ราย ,0,,0,,ปภ.จ. เชียงใหม่,ไม่ระเบิด
262,19/05/2020,สมุทรปราการ,6,รั่วไหล,Ammonia,โรงงาน,ระทึก!แอมโมเนียรง.น้ำแข็งรั่ว ชาวบ้านแสบตา-เป็นลม,0,,0,,เดลินิวส์ออนไลน์,ไม่ระเบิด
263,08/06/2020,หนองคาย,8,อุบัติเหตุขนส่ง,น้ำมันเชื้อเพลิง,การจราจร/ขนส่ง,คนขับรถบรรทุกน้ำมันไปส่ง สปป.ลาวหลับในพลิกคว่ำลงร่องกลางถนน,0,,0,,สยามรัฐออนไลน์,ไม่ระเบิด
264,11/06/2020,ตาก,2,อุบัติเหตุขนส่ง,น้ำมันเชื้อเพลิง,การจราจร/ขนส่ง,เกิดอุบัติเหตุรถบรรทุกน้ำมันพลิกคว่ำหวิดเกิดระเบิดไฟไหม้ทั้งคัน,0,,0,,ข่าวเจาะลึก,ไม่ระเบิด
265,28/07/2020,ปทุมธานี,4,ไฟไหม้,ไฟเบอร์กลาส,โรงงาน,ไฟไหม้โรงงานไฟเบอร์กลาสย่านปทุมฯ พนง.เสียชีวิต 1 ราย เสียหายกว่า 50 ล้านบาท,0,,1,,ข่าว 3 เรื่องเด่นเย็นนี้,ไม่ระเบิด
266,06/09/2020,กรุงเทพมหานคร,13,อุบัติเหตุขนส่ง,ก๊าซ NGV,การจราจร/ขนส่ง,ระทึกรถบรรทุก NGV พลิกคว่ำมีก๊าซรั่วไหลบนสะพานยูเทิร์นพระราม 2,1,,0,,สยามรัฐออนไลน์,ไม่ระเบิด
267,22/09/2020,บุรีรัมย์,9,ไฟไหม้,ยางพารา,โรงงาน,ไฟไหม้โรงงานยางพารา จ.บุรีรัมย์ ล่าสุดคุมเพลิงได้แล้ว คาดไฟฟ้าลัดวงจร ทำเสียหายกว่า 2 ล้าน,0,,0,,ข่าว 3 เรื่องเด่นเย็นนี้,ไม่ระเบิด
268,28/09/2020,สมุทรปราการ,6,รั่วไหล,ก๊าซคลอรีน,โรงงาน,ร้านรับซื้อของเก่านำแคปซูลเหล็กมาตัด แล้วสารเคมีเกิดรั่วไหลเจ็บ 7 ราย,7,,0,,ไทยรัฐออนไลน์,ไม่ระเบิด
269,07/10/2020,เพชรบูรณ์,2,รั่วไหล,Ammonia,โรงงาน,ระทึก! ก๊าซแอมโมเนียโรงงานน้ำแข็งเขาค้อรั่วไหล ต้องปิดถนน อพยพชาวบ้านหนีกันวุ่น,2,,0,,ผู้จัดการออนไลน์,ไม่ระเบิด
270,09/10/2020,ฉะเชิงเทรา,6,รั่วไหล,สารเคมีไม่ทราบชนิด,โรงงาน,คพ.เตรียมแจ้งความดำเนินคดี กรณีสารเคมีรั่วไหลจากโรงงานของบริษัท ไมด้า วัน จำกัด,0,,0,,มติชนออนไลน์,ไม่ระเบิด
271,16/10/2020,อุดรธานี,8,รั่วไหล,Ammonia,โรงงาน,ถังก๊าซแอมโมเนียรั่ว เจ้าของโรงงานน้ำแข็งบ้านกู่แก้วบุกเข้าปิดวาวล์ถัง จนท.ฉีดละอองน้ำเพื่อลดความเข้มข้น,14,,0,,Line  Today,ไม่ระเบิด
272,22/10/2020,สมุทรปราการ,6,รั่วไหล,ก๊าซธรรมชาติ,ชุมชน,ท่อก๊าซ ปตท.ระเบิด ไฟลุกท่วม สมุทรปราการ เสียชีวิต 3 ราย,20,,3,,ประชาชาติธุรกิจ,ระเบิด
273,27/10/2020,ขอนแก่น,7,อุบัติเหตุขนส่ง,น้ำมันเชื้อเพลิง,การจราจร/ขนส่ง,ขอนแก่น รถบรรทุกน้ำมันพลิกคว่ำไฟลุกท่วม,1,,0,,ข่าวเด่น khonkaenlink,ไม่ระเบิด
274,28/10/2020,บุรีรัมย์,9,อุบัติเหตุขนส่ง,น้ำมันเชื้อเพลิง,การจราจร/ขนส่ง,บุรีรัมย์ระทึก รถบรรทุกน้ำมันชนสิบล้อ น้ำมันไหลกลายเป็นทะเลเพลิง ลามไหม้ตึก-รถอื้อ,0,,0,,ข่าว 3 เรื่องเล่าเช้านี้,ไม่ระเบิด
275,01/11/2020,ปทุมธานี,4,รั่วไหล,ก๊าซ LPG,ปั๊มน้ำมัน/แก๊ส,ชาวปทุมระทึก รถบรรทุกแก๊สLPGรั่วกลางปั๊มน้ำมัน กู้สถานการณ์วุ่น,0,,0,,ข่าวสดออนไลน์ ,ไม่ระเบิด
276,01/11/2020,ลำพูน,1,อุบัติเหตุขนส่ง,น้ำมันเชื้อเพลิง,การจราจร/ขนส่ง,ระทึก! รถบรรทุกน้ำมันพลิกคว่ำไฟลุก เสียชีวิต 1 ราย คาดเบรกไม่อยู่,0,,1,,ข่าว 3 ข่าวเด่น เย็น เสาร์-อาทิตย์,ไม่ระเบิด
277,15/11/2020,สมุทรสาคร,5,ไฟไหม้,พลาสติก,โรงงาน,ระทึก! ไฟไหม้โรงงานผลิตกล่องข้าวพลาสติก หวิดคลอกเจ้าของโรงงาน-แม่ ส่วนคนงานบาดเจ็บ,3,,0,,ข่าว 3 เรื่องเล่าเช้านี้,ไม่ระเบิด
278,01/12/2020,ระยอง,6,ไฟไหม้,เม็ดพลาสติก,โรงงาน,อพยพคนงานวุ่น ไฟไหม้ไซโลเก็บเม็ดพลาสติก โรงงานนิคมมาบตาพุด,0,,0,,ข่าว 3 เรื่องเล่าเช้านี้,ไม่ระเบิด
279,02/12/2020,สมุทรสาคร,5,ไฟไหม้,โซเดียมไฮโดรซัลไฟต์,โรงงาน,"ระทึกกลางดึก ไฟไหม้โกดังเก็บสารเคมี ""โซเดียมไฮโดรซัลไฟต์"" สูญหลายล้าน",0,,0,,ข่าวสดออนไลน์ ,ไม่ระเบิด
280,07/12/2020,สมุทรปราการ,6,ไฟไหม้,ทินเนอร์,โรงงาน,หนีตายวุ่น! ไฟไหม้ โรงงานทินเนอร์ เผยนาทีระทึก รถน้ำกว่า10คันเร่งดับ,0,,0,,ข่าวสดออนไลน์ ,ไม่ระเบิด
281,22/12/2020,ปราจีนบุรี,6,ลักลอบทิ้ง,สารเคมีไม่ทราบชนิด,ชุมชน,ชาวบ้านโวย มีผู้ลักลอบทิ้งสารเคมีในบ่อลูกรังเก่า จ.ปราจีนบุรี,0,,0,,7 สีช่วยชาวบ้าน,ไม่ระเบิด
282,22/12/2020,สมุทรปราการ,6,ระเบิด,สารเคมีไม่ทราบชนิด,โรงงาน,ตูมสนั่น! ช่างนั่งตัดเหล็กบนหลังคาสะเก็ดไฟหล่นถูกถังสารเคมีระเบิดไฟคลอกสาหัส,1,,0,,แนวหน้าออนไลน์,ระเบิด
283,29/12/2020,ฉะเชิงเทรา,6,ลักลอบทิ้ง,กากอุตสาหกรรม,แหล่งน้ำ,พบสารเคมีอันตราย ในอ่างเก็บน้ำ จ.ฉะเชิงเทรา คาดฝีมือพวกลักลอบทิ้งกากอุตสาหกรรม,0,,0,,ข่าว 3 ข่าว 3 มิติ,ไม่ระเบิด
