no,date,province,odpc,type_source,type_cause,place,detail_source,count_injured,type_injurey,count_dead,type_dead,data_source,explode
1,04/01/2016,ปราจีนบุรี,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,,0,,0,,,
2,07/01/2016,สมุทรปราการ,6,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,"ไฟไหม้ โรงงานผลิตพลาสติก ย่านกิ่งแก้ว สมุทรปราการ

เมื่อเวลาประมาณ 21.15 น. ของวันที่ 7 มกราคม 2559 เกิดเหตุเพลิงไหม้ภายในบริษัท แครรี่ เมนูแฟคทูเรอร์ (ประเทศไทย) จำกัด เลขที่ 69/35 ซอยกิ่งแก้ว 54 หมู่ 6 ต.ราชาเทวะ อ.บางพลี จ.สมุทรปราการ รถดับเพลิงจาก อบต.ราชาเทวะ และองค์กรปกครองส่วนท้องถิ่นใกล้เคียง รวม 10 คัน เข้าสกัดเพลิง

ที่เกิดเหตุเป็นอาคารพาณิชย์ 3 ชั้น 3 คูหา และมีการต่อเติมออกไปด้านข้างอีก 1 ห้อง โดยเพลิงได้ลุกไหม้บริเวณชั้น 2 ซึ่งเป็นที่เก็บเม็ดพลาสติก และกล่องโฟมบรรจุเม็ดพลาสติก เจ้าหน้าที่ดับเพลิง รีบฉีดน้ำสกัดไม่ให้เพลิงลุกลาม พร้อมตัดไฟภายใน ซ.กิ่งแก้ว 54 โดยใช้เวลาราว 1 ชม. เพลิงจึงสงบ

จากการตรวจสอบเบื้องต้นพบว่า สิ่งของที่อยู่บนชั้น2 ถูกเพลิงไหม้ทั้งหมด และเพลิงไม่ได้ลุกลามไปส่วนอื่น รวมทั้งไม่มีผู้บาดเจ็บหรือเสียชีวิต

เบื้องต้น ทราบว่า บริษัทแห่งนี้ประกอบกิจการอัดฉีดเม็ดพลาสติก ก่อนเกิดเหตุได้มีพนักงานทำงานล่วงเวลาหรือโอที อยู่ 30 คน จากนั้นเกิดไฟดับโดยไม่ทราบสาเหตุ และก็เห็นกลุ่มควันเกิดขึ้นภายในชั้น 2 ของอาคาร ซึ่งเป็นที่เก็บเม็ดพลาสติกที่ทำการอัดฉีดเรียบร้อย เตรียมส่งลูกค้าและกล่องโฟมที่ใช้บรรจุเม็ดพลาสติก คนงานที่ทำงานอยู่จึงได้ช่วยกันนำถังดับเพลิงมาช่วยกันดับ แต่ไม่สามารถดับได้เพลิง จึงโทรแจ้งตำรวจ

เบื้องต้น ตำรวจสันนิษฐานคาดว่า เกิดจากไฟฟ้าลัดวงจร ส่วนค่าความเสียหาย ยังไม่สามารถประเมินได้ โดยหลังจากนี้ จะประสานเจ้าหน้าที่พิสูจน์หลักฐานเข้าตรวจสอบเพื่อหาสาเหตุที่แท้จริงต่อไป.",0,,0,,ไทยรัฐออนไลน์,
3,20/01/2016,ฉะเชิงเทรา,6,รั่วไหล,NGV,การจราจร/ขนส่ง,,0,,0,,,
4,24/01/2016,ระยอง,6,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โกดัง,,0,,0,,,
5,24/01/2016,กรุงเทพมหานคร,13,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,อาคารพาณิชย์/สํานักงาน/ร้านจําหน่าย,,0,,0,,,
6,31/01/2016,ปราจีนบุรี,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,,0,,0,,,
7,03/02/2016,สระแก้ว,6,ไฟไหม้,ขยะรีไซเคิล,โรงงาน,,0,,0,,,
8,03/02/2016,ระยอง,6,รั่วไหล,Chlorine,โรงงาน,,0,,0,,,
9,03/02/2016,กรุงเทพมหานคร,13,ไฟไหม้,LPG,การจราจร/ขนส่ง,,0,,0,,,
10,04/02/2016,สมุทรปราการ,6,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,,0,,0,,,
