No,Date,Province,ODPC,Type_Source,Type_Cause,Place,Detail_Source,Count_Injured,Type_Injurey,Count_Dead,Type_Dead,Data_Source,explode
351,21/02/2022,นครปฐม,5,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,นครปฐม ไฟไหม้โรงงานปั่นด้าย,0,,0,,FB :Fire & Rescue Thailand,ไม่ระเบิด
352,09/03/2022,สมุทรปราการ,6,ระเบิด,ไอระเหยคราบน้ำมัน,แหล่งน้ำ,ระทึก! เรือบรรทุกน้ำมันระเบิด-หนีตายอลหม่าน เจ็บ 3 สูญหาย 1,3,พนักงานโรงงาน,0,,เดลินิวส์ออนไลน์,ระเบิด
353,10/03/2022,สมุทรปราการ,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,ไฟไหม้บ่อขยะแพรกษาใหม่ ล่าสุดควบคุมเพลิงไว้ในวงจำกัด เร่งระบายความร้อน,0,,0,,ไทยรัฐออนไลน์,ไม่ระเบิด
354,25/03/2022,กรุงเทพมหานคร,13,อุบัติเหตุขนส่ง,LPG,การจราจร/ขนส่ง,"รถบรรทุกแก๊สหุงต้ม พลิกคว่ำ บริเวณทางลงด่วน แยกมหานคร 
เวลา 10.22 น. รับแจ้งจากทางแอปพลิเคชั่นไลน์ เหตุรถบรรทุกแก๊สหุงต้ม พลิกคว่ำ บริเวณทางลงด่วน แยกมหานคร ถนนพระราม 4 แขวงรองเมือง เขตปทุมวัน เจ้าหน้าที่สถานีดับเพลิงและกู้ภัยบรรทัดทองกำลังไปที่เกิดเหตุ 
เวลา 10.31 น. เหตุรถบรรทุกแก๊สหุงต้ม พลิกคว่ำ บริเวณทางลงด่วน แยกมหานคร เจ้าหน้าที่สถานีดับเพลิงและกู้ภัยบรรทัดทอง,บางรัก ถึงที่เกิดเหตุเบื้องต้นเป็นรถบรรทุก6ล้อ บรรทุกถังแก๊สหุงต้มจำนวนหลายถัง รั่วไหลเพียง 1 ถังเจ้าหน้าที่ได้ทำการปิดวาล์วแก๊สเป็นที่เรียบร้อย",0,,0,,FB :Fire & Rescue Thailand,ไม่ระเบิด
355,27/03/2022,สมุทรปราการ,6,ระเบิด,น้ำมันดิบ,แหล่งน้ำ,เรือน้ำมันระเบิดฉีกดับ 1 บึม 3 ครั้งกลางเจ้าพระยา เดือนเดียว ซ้ำรอย 2 หน,3,พนัักงานบนเรือ,1,พนักงานบนเรือ,ไทยรัฐออนไลน์,ระเบิด
356,05/04/2022,เชียงราย,1,อุบัติเหตุขนส่ง,น้ำมันดีเซล,การจราจร/ขนส่ง,รถน้ำมันขนดีเซล 7 พันลิตร คว่ำ ที่ ต.ท่าสุด อ.เมือง จ.เชียงราย คุมสถานการณ์ได้แล้ว,1,พนักงานขับรถ,0,,7HDร้อนออนไลน์,ไม่ระเบิด
357,07/04/2022,เชียงใหม่,1,อุบัติเหตุขนส่ง,น้ำมัน,การจราจร/ขนส่ง,"เวลา 12.00น. #อุบัติเหตุ #ทล1095 ที่บริเวณกม.47+550 ต.ป่าแป๋ อ.แม่แตง จ.เชียงใหม่ รถปิคอัพชนกับรถบรรทุกน้ำมัน มีน้ำมันรั่วบนผิวทาง จนท.กำลังดำเนินการ การจราจรรติดขัด ท้ายแถว 1 กม. #รถติด 

(Cr.กรมทางหลวง)",0,,0,,FB:JS100 Radio,ไม่ระเบิด
358,10/04/2022,ปราจีนบุรี,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,ทีม SAT ประจำสัปดาห์ได้รับแจ้งจากกลุ่มโรคไม่ติดต่อ ว่าเกิดเหตุเพลิงไหม้บ่อขยะเทศบาลศรีมหาโพธิ อ.ศรีมหาโพธิ จ.ปราจีนบุรี พบมีกลุ่มควันไฟเป็นจำนวนมากและกลิ่นเหม็น บ่อขยะ มีพื้นที่จำนวน 20 ไร่ ขยะส่วนใหญ่เป็นพลาสติก เจ้าหน้าที่ดับเพลิงสามารถควบคุมเพลิงไว้ได้ เวลาประมาณ เวลา 04.00 น ฝ้าระวังสถานการณ์ตลอด 24 ชั่วโมง เพื่อไม่ให้เพลิงปะทุขึ้นอีก เบื้องต้นสันนิษฐานว่า สาเหตุเพลิงลุกไหม้อาจมาจากสภาพอากาศที่ร้อนจัดจนเกิดไฟลุกไหม้ขึ้น การดำเนินงานของพื้นที่,0,,0,,Event-based DDC,ไม่ระเบิด
359,11/04/2022,ชลบุรี,6,ไฟไหม้,วัตถุไม่ทราบชนิด,โรงงาน,"ชลบุรี-ไฟไหม้โรงงานผลิตไฟเบอร์กลาส 
เมื่อเวลา 05.07 น. ของวันที่ 11 เมษายน 2566 เกิดเหตุเพลิงไหม้โรงงานชื่อบริษัท เอฟ อาร์ พี โปรดักส์ จำกัด ตั้งอยู่พื้นที่ ต.หนองเหียง อ.พนัสนิคม จ.ชลบุรี กำลังอาสาสมัครดับเพลิงภาคตะวันออก พร้อมด้วยรถน้ำ รถอุปกรณ์ดับเพลิง จาก อบต.หนองเหียง, อบต. นาเริก, เทศบาลเมืองพนัสนิคม, เทศบาลตำบลหัวถนน
ที่เกิดเหตุเป็นโรงงานผลิตและจำหน่ายผลิตภัณฑ์ไฟเบอร์กลาส พบเพลิงลุกไหม้ภายในอาคารโกดัง เจ้าหน้าที่ดับเพลิงเข้าฉีดน้ำระงับเหตุ ล่าสุดเวลา 06.00 น.เจ้าหน้าที่สามารถควบคุมเพลิงได้ รายละเอียดเพิ่มเติมจะแจ้งให้ทราบต่อไป",0,,0,,FB :Fire & Rescue Thailand,ไม่ระเบิด
360,12/04/2022,ตาก,2,อุบัติเหตุขนส่ง,น้ำมันไม่ทราบชนิด,การจราจร/ขนส่ง,ตูมสนั่น รถบรรทุกน้ำมัน 4 หมื่นลิตร ชนไฟลุกท่วม เกือบลามเข้าบ้าน ปชช. (คลิป),1,พนักงานขับรถ,0,,ไทยรัฐออนไลน์,ไม่ระเบิด
