row_order,category_level,level_type,tsic_division_code,tsic_division_name,tsic_group_code,tsic_group_name,tsic_class_code,tsic_class_name,product_code,item_name,weight,index_2021_01,index_2021_02,index_2021_03,index_2021_04,index_2021_05,index_2021_06,index_2021_07,index_2021_08,index_2021_09,index_2021_10,index_2021_11,index_2021_12,index_2022_01,index_2022_02,index_2022_03,index_2022_04,index_2022_05,index_2022_06,index_2022_07,index_2022_08,index_2022_09,index_2022_10,index_2022_11,index_2022_12,index_2023_01,index_2023_02,index_2023_03,index_2023_04,index_2023_05,index_2023_06,index_2023_07,index_2023_08,index_2023_09,index_2023_10,index_2023_11,index_2023_12,index_2024_01,index_2024_02,index_2024_03,index_2024_04,index_2024_05,index_2024_06,index_2024_07,index_2024_08,index_2024_09,index_2024_10,index_2024_11,index_2024_12,index_2025_01,index_2025_02,index_2025_03,index_2025_04,index_2025_05,index_2025_06,index_2025_07,index_2025_08,index_2025_09,index_2025_10,index_2025_11,index_2025_12,index_2026_01,index_2026_02,index_2026_03,index_2026_04,index_2026_05,index_2026_06,mom_change_pct,yoy_change_pct,base_year,source_agency,source_file
83,4,PRODUCT_ITEM,10,การผลิตผลิตภัณฑ์อาหาร,1071,การผลิตผลิตภัณฑ์ขนมอบ,10711,การผลิตขนมปัง  เค้ก  และเพสทรี,10711-020,ขนมอบอื่น ๆ (พิซซ่า โดนัท ขนมปังปอนด์ ฯลฯ),0.211753,91.117041,89.413666,93.938841,89.082523,106.141796,100.757848,105.251855,112.827953,110.463719,105.933028,95.63904,99.43269,87.628966,82.563324,91.147958,94.691474,95.966221,94.071121,98.430042,100.540049,100.34507,98.4783,96.124485,100.244949,92.286763,90.353227,99.838439,90.236044,98.8497,96.031712,101.517803,105.275268,100.514581,102.581009,100.072817,100.373745,91.82602,90.529308,101.178395,91.02118,103.433076,100.74967,102.637194,101.625553,99.519971,103.549945,95.18988,94.137202,83.712794,83.658062,90.952474,84.306348,97.531246,87.106256,92.309098,92.861818,95.253393,96.559682,95.4396,96.00182,84.014543,83.06092,86.240228,75.050349,83.559917,84.837715,1.5292,-2.604338,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
84,3,CLASS_5DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,1071,การผลิตผลิตภัณฑ์ขนมอบ,10712,การผลิตบิสกิตและขนมปังกรอบที่คล้ายกัน,,การผลิตบิสกิตและขนมปังกรอบที่คล้ายกัน,0.410738,102.80608,93.433022,100.558523,93.132933,93.345026,94.946021,91.919382,97.769872,99.875909,107.212502,116.768817,108.231913,111.467436,99.078042,104.619159,98.6872,101.220206,97.072867,99.717857,102.547468,100.625613,106.993064,110.339794,111.396649,103.13502,95.249333,99.10563,90.513581,97.160347,98.891609,101.022008,102.705441,99.495282,109.378936,111.018631,108.939626,104.602368,95.763223,104.383746,98.086951,106.090638,97.317051,108.608929,111.988911,106.311354,118.717828,117.142625,111.974041,108.530339,94.436706,100.16031,97.978018,97.45909,99.87866,101.302946,102.461459,98.42945,108.75779,111.556372,109.232679,102.994267,88.977243,95.700646,93.162938,94.348682,90.737244,-3.827756,-9.152521,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
85,4,PRODUCT_ITEM,10,การผลิตผลิตภัณฑ์อาหาร,1071,การผลิตผลิตภัณฑ์ขนมอบ,10712,การผลิตบิสกิตและขนมปังกรอบที่คล้ายกัน,10712-010,ขนมปังเวเฟอร์,0.043152,106.094737,97.356207,95.906053,88.327924,93.429695,100.469183,102.437546,97.645494,93.591752,111.889777,125.077207,87.774424,114.904312,95.391558,93.392548,92.261401,90.344115,96.527813,70.902406,86.722215,96.978693,96.860285,92.265115,90.002357,99.725765,89.960101,100.725967,86.687854,80.747009,85.4513,82.925257,84.818861,88.28474,89.226898,94.710827,85.725264,97.766689,81.71192,88.621391,79.484452,89.284477,92.493574,95.07441,92.891054,94.878455,101.452204,95.530862,99.708584,96.922972,86.071202,93.126013,86.751469,84.405592,98.822147,89.849587,97.232226,92.352877,93.420409,94.923961,97.274017,103.80226,81.432384,98.140023,91.896424,88.239234,89.99632,1.991275,-8.931022,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
86,4,PRODUCT_ITEM,10,การผลิตผลิตภัณฑ์อาหาร,1071,การผลิตผลิตภัณฑ์ขนมอบ,10712,การผลิตบิสกิตและขนมปังกรอบที่คล้ายกัน,10712-020,คุกกี้,0.012477,87.418805,59.964966,73.739082,68.431291,70.464371,58.501874,60.491388,66.539801,74.323593,128.352691,272.574297,179.197841,88.017838,70.250172,78.259054,81.795161,72.835088,83.850024,98.742334,110.131212,133.232083,201.834007,329.144745,201.746876,105.378888,82.274387,128.098556,90.806062,82.140059,84.957326,105.164689,100.187273,130.400293,281.450869,312.967238,202.639978,98.952903,79.562404,85.414769,68.674535,73.826214,86.43494,90.620906,114.858123,128.20384,280.672127,380.57259,268.140367,97.442615,89.438452,112.048116,99.602763,80.259823,90.450273,89.963786,91.386942,124.043288,290.29404,387.080624,300.05827,118.30855,100.885781,102.010147,89.273265,85.109807,78.633359,-7.609521,-13.064542,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
87,4,PRODUCT_ITEM,10,การผลิตผลิตภัณฑ์อาหาร,1071,การผลิตผลิตภัณฑ์ขนมอบ,10712,การผลิตบิสกิตและขนมปังกรอบที่คล้ายกัน,10712-030,ขนมปังกรอบ/แครกเกอร์/บิสกิต,0.194394,107.925912,95.964818,106.017103,98.830815,100.152315,95.611756,88.475921,95.862492,95.749901,104.364819,107.119645,103.924502,109.107955,97.6325,101.285434,95.846439,100.327153,97.115301,102.2981,100.569153,95.554423,101.048348,97.784733,110.653108,98.606507,88.579885,95.099362,87.335616,94.044194,99.439638,105.363987,106.634203,103.818102,107.217788,104.42587,107.480581,103.327757,95.115099,110.251668,101.0631,109.644123,97.529552,116.200981,111.0847,107.306507,110.32323,100.979309,104.342258,101.655052,91.797171,100.615577,92.821307,95.412366,100.993372,104.602654,105.106502,98.493861,101.212288,105.649222,99.558934,93.337458,89.245931,92.948456,88.996745,88.128112,85.83966,-2.596732,-15.00466,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
88,4,PRODUCT_ITEM,10,การผลิตผลิตภัณฑ์อาหาร,1071,การผลิตผลิตภัณฑ์ขนมอบ,10712,การผลิตบิสกิตและขนมปังกรอบที่คล้ายกัน,10712-040,ขนมอบกรอบอื่น ๆ (ข้าวโพดอบกรอบ ข้าวเกรียบกุ้ง ฯลฯ),0.160714,96.924888,91.915527,97.287324,89.448828,86.864766,95.487091,95.700191,102.534874,108.537605,107.759899,114.113491,113.425516,115.219048,104.054362,113.712313,105.160012,107.424309,98.194429,104.409636,108.600722,105.207373,109.541372,113.39234,111.026183,109.353732,105.74391,101.265565,95.362036,106.502626,102.919257,100.307518,102.951439,94.877341,104.045237,107.693617,109.663216,108.418072,101.577705,102.990991,101.765323,108.809778,99.199951,104.456396,117.987678,106.477814,120.934336,122.044883,112.374666,120.823813,100.263577,100.575464,107.103597,104.774867,99.545984,101.267297,101.525932,97.994613,107.909304,101.777267,109.330075,113.268925,89.753552,97.884783,98.844239,104.230497,97.799788,-6.1697,-1.75416,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
89,2,GROUP_4DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,1072,การผลิตน้ำตาล,,,,การผลิตน้ำตาล,1.337464,107.817907,107.865216,118.527945,107.969587,113.446376,117.293104,99.465635,94.858735,98.228044,83.963474,74.181496,76.38248,167.519747,164.456337,174.717353,131.740012,139.734344,160.454077,167.791657,129.765062,80.348022,85.228799,70.773205,82.09099,169.442553,183.365424,225.552583,128.810987,188.632956,157.119967,145.677864,120.706693,90.819706,83.515795,61.80224,78.818932,146.284743,150.516833,137.878231,119.387157,145.183355,115.91227,116.677471,113.535837,97.21725,83.880252,66.265907,68.149407,154.233837,165.369753,132.762988,123.562958,148.050744,132.125263,142.591307,125.555052,115.836245,99.673077,73.840752,83.835384,121.327543,169.422385,196.028392,188.711597,181.552215,161.73937,-10.913029,22.41366,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
90,3,CLASS_5DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,1072,การผลิตน้ำตาล,10721,การผลิตน้ำตาลทรายดิบจากอ้อย,,การผลิตน้ำตาลทรายดิบจากอ้อย,0.384443,104.451895,98.173925,87.23661,118.006468,149.95146,124.659777,80.520082,113.970176,145.252579,68.984697,41.284762,67.507569,283.322966,280.146284,276.495657,189.173316,185.711802,203.442658,232.058593,166.832272,70.343366,47.955754,21.448082,94.284387,264.153091,253.767086,399.096995,164.885742,311.962257,202.069746,202.616749,122.258641,66.421437,67.10641,35.973376,65.797098,207.593757,222.236808,147.88796,134.14749,170.616835,109.970513,126.271699,80.874789,55.744872,23.389566,8.833246,52.411944,236.759432,244.706508,158.886672,170.714677,196.118212,114.299986,151.708846,97.520936,87.497969,38.300311,16.333432,54.130553,127.163771,225.817763,273.788269,299.899639,265.798795,202.804029,-23.70017,77.431369,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
91,4,PRODUCT_ITEM,10,การผลิตผลิตภัณฑ์อาหาร,1072,การผลิตน้ำตาล,10721,การผลิตน้ำตาลทรายดิบจากอ้อย,10721-010,น้ำตาลทรายดิบ,0.384443,104.451895,98.173925,87.23661,118.006468,149.95146,124.659777,80.520082,113.970176,145.252579,68.984697,41.284762,67.507569,283.322966,280.146284,276.495657,189.173316,185.711802,203.442658,232.058593,166.832272,70.343366,47.955754,21.448082,94.284387,264.153091,253.767086,399.096995,164.885742,311.962257,202.069746,202.616749,122.258641,66.421437,67.10641,35.973376,65.797098,207.593757,222.236808,147.88796,134.14749,170.616835,109.970513,126.271699,80.874789,55.744872,23.389566,8.833246,52.411944,236.759432,244.706508,158.886672,170.714677,196.118212,114.299986,151.708846,97.520936,87.497969,38.300311,16.333432,54.130553,127.163771,225.817763,273.788269,299.899639,265.798795,202.804029,-23.70017,77.431369,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
92,3,CLASS_5DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,1072,การผลิตน้ำตาล,10722,การผลิตน้ำตาลทรายขาวและน้ำตาลทรายบริสุทธิ์,,การผลิตน้ำตาลทรายขาวและน้ำตาลทรายบริสุทธิ์,0.953022,109.175734,111.774618,131.150661,103.920776,98.72047,114.321438,107.108144,87.149308,79.258662,90.005813,87.451818,79.962559,120.805504,117.787787,133.660666,108.571802,121.187345,143.112772,141.866805,114.812398,84.383833,100.264496,90.670629,77.172256,131.236956,154.965865,155.54593,114.258673,138.882742,138.987527,122.709099,120.080648,100.661805,90.135231,72.221431,84.071853,121.553098,121.585475,133.840373,113.432937,134.923659,118.309135,112.807224,126.711085,113.946929,108.281789,89.433857,74.497794,120.943564,133.365838,122.224869,104.54227,128.660649,139.31586,138.913353,136.863827,127.267715,124.43044,97.03882,95.818114,118.973247,146.672867,164.660578,143.859086,147.567709,145.174161,-1.622,4.20505,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
