period_ym,year_ce,year_be,month_num,month_name_th,row_order,category_level,sector,group_name,category_name,index_current_month,index_prev_month,index_prev_year_same_month,mom_change_pct,yoy_change_pct,aoa_change_pct,base_year,source_file
2026-04,2026,2569,4,เมษายน,12,3,ผลิตภัณฑ์จากเหมือง,ถ่านหินและลิกไนต์,ลิกไนต์,100.0,100.0,100.0,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,13,2,ผลิตภัณฑ์จากเหมือง,ปิโตรเลียมดิบและก๊าซธรรมชาติ,ปิโตรเลียมดิบและก๊าซธรรมชาติ,122.2,103.4,117.4,18.2,4.1,-10.6,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,14,3,ผลิตภัณฑ์จากเหมือง,ปิโตรเลียมดิบและก๊าซธรรมชาติ,ปิโตรเลียมดิบ,127.8,91.8,109.0,39.2,17.2,-11.3,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,15,3,ผลิตภัณฑ์จากเหมือง,ปิโตรเลียมดิบและก๊าซธรรมชาติ,ก๊าซธรรมชาติ,120.3,106.5,119.6,13.0,0.6,-10.4,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,16,2,ผลิตภัณฑ์จากเหมือง,สินแร่โลหะ,สินแร่โลหะ,92.9,107.5,95.9,-13.6,-3.1,5.4,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,17,3,ผลิตภัณฑ์จากเหมือง,สินแร่โลหะ,สินแร่เหล็ก,32.1,43.1,35.5,-25.5,-9.6,-19.6,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,18,3,ผลิตภัณฑ์จากเหมือง,สินแร่โลหะ,สินแร่โลหะที่ไม่ใช่สินแร่เหล็ก (ยกเว้นโลหะมีค่า),124.5,126.4,96.5,-1.5,29.0,23.3,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,19,2,ผลิตภัณฑ์จากเหมือง,ผลิตภัณฑ์อื่นๆ ที่ได้จากการทำเหมือง,ผลิตภัณฑ์อื่นๆ ที่ได้จากการทำเหมือง,102.4,100.4,99.9,2.0,2.5,0.9,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,20,3,ผลิตภัณฑ์จากเหมือง,ผลิตภัณฑ์อื่นๆ ที่ได้จากการทำเหมือง,หิน ทราย และดิน,103.1,101.1,100.6,2.0,2.5,1.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,21,3,ผลิตภัณฑ์จากเหมือง,ผลิตภัณฑ์อื่นๆ ที่ได้จากการทำเหมือง,ผลิตภัณฑ์ที่ได้จากการทำเหมืองแร่และเหมืองหิน ซึ่งมิได้จัดประเภทไว้ในที่อื่น,86.2,86.2,84.8,0.0,1.7,-1.7,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,22,1,ผลิตภัณฑ์อุตสาหกรรม,,ผลิตภัณฑ์อุตสาหกรรม,118.6,116.1,107.1,2.2,10.7,4.9,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,23,2,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์อาหาร,ผลิตภัณฑ์อาหาร,106.9,105.3,108.1,1.5,-1.1,-3.2,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
