ปี,ฤดูกาล,อำเภอ,ประเภทข้าว,จำนวน,หน่วย
2568,ข้าวนาปี,อำเภอเมืองฉะเชิงเทรา,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปี,อำเภอบางคล้า,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปี,อำเภอบางน้ำเปรี้ยว,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปี,อำเภอบางปะกง,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปี,อำเภอบ้านโพธิ์,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปี,อำเภอพนมสารคาม,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปี,อำเภอราชสาส์น,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปี,อำเภอสนามชัยเขต,ข้าวเหนียว,966,ตัน
2568,ข้าวนาปี,อำเภอแปลงยาว,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปี,อำเภอท่าตะเกียบ,ข้าวเหนียว,242,ตัน
2568,ข้าวนาปี,อำเภอคลองเขื่อน,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปี,อำเภอเมืองฉะเชิงเทรา,ข้าวเจ้า,122363,ตัน
2567,ข้าวนาปี,อำเภอเมืองฉะเชิงเทรา,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปี,อำเภอบางคล้า,ข้าวเจ้า,11763,ตัน
2567,ข้าวนาปี,อำเภอบางคล้า,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปี,อำเภอบางน้ำเปรี้ยว,ข้าวเจ้า,149760,ตัน
2567,ข้าวนาปี,อำเภอบางน้ำเปรี้ยว,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปี,อำเภอบางปะกง,ข้าวเจ้า,5289,ตัน
2567,ข้าวนาปี,อำเภอบางปะกง,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปี,อำเภอบ้านโพธิ์,ข้าวเจ้า,18376,ตัน
2567,ข้าวนาปี,อำเภอบ้านโพธิ์,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปี,อำเภอพนมสารคาม,ข้าวเจ้า,50849,ตัน
2567,ข้าวนาปี,อำเภอพนมสารคาม,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปี,อำเภอราชสาส์น,ข้าวเจ้า,26501,ตัน
2567,ข้าวนาปี,อำเภอราชสาส์น,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปี,อำเภอสนามชัยเขต,ข้าวเจ้า,84,ตัน
